Active on port: 4000
init camera on /dev/video0
P, I, D, (E), (T) ---> 33.1930902928018 33.1930902928018 4.752690246170744 54.25 1546292060.5978093
P, I, D, (E), (T) ---> 0 0 0 0 1546292060.63906
P, I, D, (E), (T) ---> 0 0 0 0 1546292060.6837611
P, I, D, (E), (T) ---> 0 0 0 0 1546292060.7077088
P, I, D, (E), (T) ---> 0 0 0 0 1546292060.7324884
P, I, D, (E), (T) ---> 33.2088254436257 49.8053705900266 1.475307286879854 38.464285714285715 1546292060.7555163
P, I, D, (E), (T) ---> 29.771588072333543 54.67427336734684 5.233860791823702 39.0 1546292060.7757845
P, I, D, (E), (T) ---> 0 0 0 0 1546292060.7997737
P, I, D, (E), (T) ---> 33.384716920645474 60.721853604318895 4.573922088211759 39.107142857142854 1546292060.818537
P, I, D, (E), (T) ---> 0 0 0 0 1546292060.8432095
P, I, D, (E), (T) ---> 0 0 0 0 1546292060.8758857
P, I, D, (E), (T) ---> 0 0 0 0 1546292060.9112217
P, I, D, (E), (T) ---> 0 0 0 0 1546292060.943162
P, I, D, (E), (T) ---> 0 0 0 0 1546292060.9763238
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.0131197
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.0465562
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.077008
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.113203
P, I, D, (E), (T) ---> 32.95658799099624 63.31751479315569 3.112765134475069 35.92857142857143 1546292061.1451294
P, I, D, (E), (T) ---> 33.00170292244428 64.66046031902212 5.906142165726408 36.32142857142857 1546292061.1774776
P, I, D, (E), (T) ---> 33.89736822514715 66.22759838465821 4.99676029927133 38.142857142857146 1546292061.2130356
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.2472506
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.2790046
P, I, D, (E), (T) ---> 34.43943518473401 67.55323437706312 -0.434050629073397 42.142857142857146 1546292061.3138983
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.3459113
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.378266
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.41485
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.4461687
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.4786868
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.5136077
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.5456815
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.5780709
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.6144962
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.6471334
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.6796098
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.7139754
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.7459278
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.7781568
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.8138952
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.8461409
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.8797035
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.9137373
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.9456635
P, I, D, (E), (T) ---> 0 0 0 0 1546292061.9783778
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.0138464
P, I, D, (E), (T) ---> 33.080447908431665 66.85706509696323 4.573918273514494 37.857142857142854 1546292062.0463178
P, I, D, (E), (T) ---> 36.421697012038805 69.85022956052042 1.2862166667640054 36.17857142857143 1546292062.0793695
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.1137464
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.1457047
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.1785345
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.2137494
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.2460961
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.2796297
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.3137672
P, I, D, (E), (T) ---> 29.831114214120646 64.75622899438085 0.8351572166894243 38.035714285714285 1546292062.34588
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.3785505
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.413958
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.4470189
P, I, D, (E), (T) ---> 34.40515760169842 66.78327209888884 3.731396606034025 35.75 1546292062.4781764
P, I, D, (E), (T) ---> 33.947324429832406 67.33896047927684 4.292603423660978 42.035714285714285 1546292062.513819
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.5456595
P, I, D, (E), (T) ---> 32.3609602249831 66.03044046462152 4.543583692214327 38.892857142857146 1546292062.579482
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.6141012
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.6478736
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.6777773
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.7137825
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.745726
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.7788954
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.8143282
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.8459785
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.8779047
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.913847
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.9456322
P, I, D, (E), (T) ---> 0 0 0 0 1546292062.9776928
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.0139253
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.0467455
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.0791821
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.1138322
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.1458552
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.178879
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.213752
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.2467453
P, I, D, (E), (T) ---> 35.19750271961965 68.2127229519304 1.5074366832434976 41.42857142857143 1546292063.2782035
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.3140087
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.345693
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.3778396
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.4138558
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.4457703
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.477772
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.5136936
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.545885
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.57794
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.6140354
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.646114
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.6778915
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.7137666
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.7459195
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.7779374
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.8137162
P, I, D, (E), (T) ---> 33.90757990793509 68.01394138390029 4.398705413407072 36.25 1546292063.8458092
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.8795524
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.9137783
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.9456844
P, I, D, (E), (T) ---> 0 0 0 0 1546292063.9799554
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.0137603
P, I, D, (E), (T) ---> 36.47189617267878 70.47886686462893 0.1515759730994546 42.607142857142854 1546292064.0459802
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.0779562
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.113857
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.1492321
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.1789591
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.2138948
P, I, D, (E), (T) ---> 32.756144686391735 67.99557811870619 4.398705413407072 36.75 1546292064.2471457
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.280873
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.3137064
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.3456879
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.3777454
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.4136639
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.4460306
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.4778109
P, I, D, (E), (T) ---> 29.471713854423058 63.469502913776154 3.0591171394799517 40.642857142857146 1546292064.5137782
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.5456564
P, I, D, (E), (T) ---> 35.27291449429305 67.00766595118112 2.1475848460852944 43.357142857142854 1546292064.5784552
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.6136985
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.646768
P, I, D, (E), (T) ---> 34.41136189754951 67.91519487314008 2.8474444652259194 42.392857142857146 1546292064.6781588
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.713624
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.7456856
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.7794795
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.8140533
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.8462532
P, I, D, (E), (T) ---> 32.32218118746704 66.27977862403708 5.906142165726408 44.07142857142857 1546292064.8781877
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.9136682
P, I, D, (E), (T) ---> 34.10111875677745 67.24100806879599 5.906140258377775 36.464285714285715 1546292064.9461632
P, I, D, (E), (T) ---> 0 0 0 0 1546292064.978425
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.014168
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.0462534
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.078065
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.11363
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.145744
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.1804278
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.2138119
P, I, D, (E), (T) ---> 32.01806444264514 65.63856847704314 -2.2239618992149985 37.357142857142854 1546292065.2459476
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.2805226
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.3137605
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.3457618
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.377937
P, I, D, (E), (T) ---> 29.556845857144594 62.37613009566616 1.922920049331026 36.0 1546292065.4142718
P, I, D, (E), (T) ---> 32.275437796006315 63.46350284383939 -5.070985018112822 35.964285714285715 1546292065.4475987
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.4780984
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.513601
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.5456507
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.578124
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.613652
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.6465943
P, I, D, (E), (T) ---> 34.030056300752335 65.76180772267203 4.573922088211759 39.607142857142854 1546292065.6785083
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.7140682
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.7458057
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.7790933
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.813668
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.8472545
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.8781078
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.9138474
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.9458876
P, I, D, (E), (T) ---> 0 0 0 0 1546292065.979489
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.0143015
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.0466743
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.0779133
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.114047
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.145706
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.1777472
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.2140617
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.245996
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.2790558
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.3140743
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.345795
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.3780632
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.414168
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.445868
P, I, D, (E), (T) ---> 32.2448320793813 65.1257359407173 -0.9686766361534751 39.107142857142854 1546292066.478057
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.513713
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.5456731
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.5785148
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.6141841
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.6461682
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.680137
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.7149138
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.7458534
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.7778249
P, I, D, (E), (T) ---> 30.87634578300316 63.43921375336181 3.4165877605140054 40.07142857142857 1546292066.8142817
P, I, D, (E), (T) ---> 32.38767929018735 64.10728616686825 4.573918273514494 36.5 1546292066.8477473
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.8792677
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.9138408
P, I, D, (E), (T) ---> 33.42109463043903 65.47473771387315 4.573922088211759 45.607142857142854 1546292066.9457827
P, I, D, (E), (T) ---> 0 0 0 0 1546292066.9797146
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.013935
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.0463011
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.0790446
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.1135116
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.1458461
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.1779127
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.2139707
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.2468712
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.2781115
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.314145
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.345969
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.3788385
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.41381
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.4460092
P, I, D, (E), (T) ---> 34.36636052111163 67.1037293780482 -1.4327976096655561 39.25 1546292067.4784179
P, I, D, (E), (T) ---> 32.52325945318387 66.07512414220797 4.324480832717256 41.32142857142857 1546292067.5139098
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.545913
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.5786986
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.6137798
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.6468804
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.6779318
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.713757
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.7459865
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.7781677
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.8139734
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.846603
P, I, D, (E), (T) ---> 33.059864362156645 66.09742643326064 1.5424755226586626 39.67857142857143 1546292067.878777
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.913841
P, I, D, (E), (T) ---> 37.54709024496657 70.59580346159689 2.509008338516935 37.357142857142854 1546292067.9459128
P, I, D, (E), (T) ---> 0 0 0 0 1546292067.9791105
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.0140786
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.0475295
P, I, D, (E), (T) ---> 31.167966363209587 66.46586809400803 3.620320142409639 39.32142857142857 1546292068.0789363
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.113901
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.1457396
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.1789095
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.2134788
P, I, D, (E), (T) ---> 34.170508014509494 67.40344206151352 -0.5430714590037837 38.107142857142854 1546292068.2477567
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.2800286
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.313737
P, I, D, (E), (T) ---> 33.00944735618128 66.71116838693804 4.99676029927133 36.67857142857143 1546292068.345946
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.3783727
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.4137497
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.4467196
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.4778981
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.513683
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.5456474
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.5779738
P, I, D, (E), (T) ---> 30.648431924038903 64.00401611750792 1.5956752907250689 44.75 1546292068.614123
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.6468453
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.6791828
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.7138567
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.7457187
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.7793927
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.81403
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.8460534
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.8782523
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.9140086
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.945926
P, I, D, (E), (T) ---> 0 0 0 0 1546292068.981265
P, I, D, (E), (T) ---> 32.38794791854559 64.38995597729955 -0.434050629073397 37.357142857142854 1546292069.0137482
P, I, D, (E), (T) ---> 33.38669713880148 65.58167512745126 3.785044601029142 38.464285714285715 1546292069.0472853
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.0779536
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.1138475
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.1457565
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.1785374
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.2137535
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.2459767
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.2780986
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.3137488
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.3457885
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.3778863
P, I, D, (E), (T) ---> 33.110498733023064 65.9013362967487 1.922920049331026 51.25 1546292069.4140573
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.4465637
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.4779832
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.5136478
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.5456808
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.5786538
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.6137853
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.6457918
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.6779575
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.7136767
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.7457438
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.777931
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.8136637
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.8463738
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.8778956
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.913602
P, I, D, (E), (T) ---> 0 0 0 0 1546292069.9458404
P, I, D, (E), (T) ---> 32.13989684263714 65.09056499101149 4.573922088211759 36.5 1546292069.9778624
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.0137303
P, I, D, (E), (T) ---> 34.061431568330704 66.60671406383645 0.7697629237830483 46.82142857142857 1546292070.0464013
P, I, D, (E), (T) ---> 34.193694951853615 67.49705198377184 4.092391301921509 37.17857142857143 1546292070.077985
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.113738
P, I, D, (E), (T) ---> 34.75662934956631 68.50515534145222 2.8474444652259194 37.92857142857143 1546292070.1457434
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.1782315
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.2138543
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.245835
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.2784553
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.313791
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.3458517
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.3794494
P, I, D, (E), (T) ---> 35.57605242411552 69.82863009484163 2.726312568253263 38.75 1546292070.4137456
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.4486902
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.479183
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.513801
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.5457118
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.578209
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.6140845
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.6460986
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.6780822
P, I, D, (E), (T) ---> 29.856562602854922 64.77087765027574 4.324480832717256 38.642857142857146 1546292070.7138367
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.7458448
P, I, D, (E), (T) ---> 30.107008662912847 62.492447488050715 3.4981563698266314 37.75 1546292070.7777944
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.8153389
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.845997
P, I, D, (E), (T) ---> 32.60923330872674 63.8554570527521 3.785044601029142 44.0 1546292070.8781412
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.9137647
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.945745
P, I, D, (E), (T) ---> 0 0 0 0 1546292070.9786537
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.0140195
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.0459056
P, I, D, (E), (T) ---> 31.68747279225812 63.61520131863417 3.5620087886512124 43.07142857142857 1546292071.078182
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.1138659
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.1456914
P, I, D, (E), (T) ---> 32.73663015825002 64.54423081756711 -1.6885023807823814 35.75 1546292071.1793694
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.2136972
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.2470703
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.2812917
P, I, D, (E), (T) ---> 32.56876177491648 64.84087718370003 4.04037171711667 40.75 1546292071.3136709
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.3460927
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.3777583
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.4137182
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.4484093
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.4789867
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.5139441
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.5464535
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.5779824
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.613688
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.6479626
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.6788197
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.7137158
P, I, D, (E), (T) ---> 32.16624889407808 64.5866874859281 3.416586806839689 39.32142857142857 1546292071.7457697
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.7778645
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.8140533
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.8478107
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.8795757
P, I, D, (E), (T) ---> 30.881935719399337 63.175279462363385 1.6253946434472368 37.785714285714285 1546292071.9138398
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.9457133
P, I, D, (E), (T) ---> 0 0 0 0 1546292071.9786563
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.013725
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.0468802
