Active on port: 4001
init camera on /dev/video1
P, I, D, (E), (T) ---> 0 0 0 0 1546292200.9532135
P, I, D, (E), (T) ---> 0 0 0 0 1546292200.9762437
P, I, D, (E), (T) ---> 0 0 0 0 1546292200.9952395
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.0138834
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.040196
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.0778265
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.1114864
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.1447794
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.1808093
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.2136319
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.2449002
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.2808087
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.313355
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.3450375
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.385587
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.416934
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.448762
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.4846535
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.5166671
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.5486262
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.5845842
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.6172838
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.6493483
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.6845398
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.716692
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.7488277
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.784727
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.8167849
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.8485653
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.8849118
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.9165022
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.9486794
P, I, D, (E), (T) ---> 0 0 0 0 1546292201.9847903
P, I, D, (E), (T) ---> 0 0 0 0 1546292202.0175776
P, I, D, (E), (T) ---> 0 0 0 0 1546292202.0486808
P, I, D, (E), (T) ---> 0 0 0 0 1546292202.0847235
P, I, D, (E), (T) ---> 0 0 0 0 1546292202.1166282
P, I, D, (E), (T) ---> 0 0 0 0 1546292202.1486404
P, I, D, (E), (T) ---> 0 0 0 0 1546292202.184508
P, I, D, (E), (T) ---> 0 0 0 0 1546292202.2173753
P, I, D, (E), (T) ---> 0 0 0 0 1546292202.2486494
P, I, D, (E), (T) ---> 0 0 0 0 1546292202.2845738
P, I, D, (E), (T) ---> 0 0 0 0 1546292202.3169668
P, I, D, (E), (T) ---> 0 0 0 0 1546292202.3486445
P, I, D, (E), (T) ---> 0 0 0 0 1546292202.3846445
P, I, D, (E), (T) ---> 0 0 0 0 1546292202.4168997
P, I, D, (E), (T) ---> 0 0 0 0 1546292202.4485025
P, I, D, (E), (T) ---> 0 0 0 0 1546292202.4844148
