Active on port: 4000
init camera on /dev/video0
green
[55, 112, 107]
red
[10, 248, 153]
('P, I, D, (E), (T) --->', -2.2583683711523577, -2.2583683711523577, -4.066055319132261, 89.1923076923077, 1551058387.235879)
('P, I, D, (E), (T) --->', -1.4969051560839262, -2.626089341660105, -4.6051262778390765, 88.57692307692308, 1551058387.267773)
('P, I, D, (E), (T) --->', -3.3140501773831943, -4.627094848213247, -5.752618124432502, 87.73076923076923, 1551058387.299458)
('P, I, D, (E), (T) --->', -4.80854249137775, -7.1220899154843735, -5.81150135044868, 89.11538461538461, 1551058387.335461)
('P, I, D, (E), (T) --->', -4.327041567142089, -7.888086524884276, -6.0337990335264635, 87.57692307692308, 1551058387.367597)
('P, I, D, (E), (T) --->', -4.798885988177233, -8.74292925061937, -6.584505071658384, 87.6923076923077, 1551058387.399826)
('P, I, D, (E), (T) --->', -6.389898230713186, -10.76136285602287, -7.224311828613281, 87.26923076923077, 1551058387.435618)
('P, I, D, (E), (T) --->', -6.996774568823298, -12.377455996834733, -6.892425537109375, 90.1923076923077, 1551058387.468085)
('P, I, D, (E), (T) --->', -3.790145652910269, -9.978873651327635, -6.584505071658384, 86.65384615384616, 1551058387.499495)
('P, I, D, (E), (T) --->', -6.709834818532897, -11.699271644196715, -6.96826171875, 89.03846153846153, 1551058387.535695)
('P, I, D, (E), (T) --->', -6.569438442818978, -12.419074264917334, -7.1250152587890625, 89.8076923076923, 1551058387.567802)
('P, I, D, (E), (T) --->', -3.6376285955358867, -9.847165727994554, -6.683801641482603, 88.11538461538461, 1551058387.599894)
('P, I, D, (E), (T) --->', -6.508219904458315, -11.431802768455592, -7.1250152587890625, 88.11538461538461, 1551058387.635541)
('P, I, D, (E), (T) --->', -3.8320235890903973, -9.547924973318192, -6.584505071658384, 88.07692307692308, 1551058387.667525)
('P, I, D, (E), (T) --->', -4.932989275980162, -9.706951762639259, -6.579357665373323, 87.5, 1551058387.699463)
('P, I, D, (E), (T) --->', -3.4947695636238905, -8.348245444943519, -5.887337532089305, 88.11538461538461, 1551058387.735695)
('P, I, D, (E), (T) --->', -5.071956169437783, -9.246078891909542, -6.427751531619322, 88.03846153846153, 1551058387.767546)
('P, I, D, (E), (T) --->', -5.066808763152721, -9.689848209107492, -6.42260412533426, 88.26923076923077, 1551058387.79966)
