Active on port: 4001
init camera on /dev/video1
green
[49, 140, 95]
red
[9, 255, 142]
('P, I, D, (E), (T) --->', -33.209444206568094, -33.209444206568094, 173.04908065990304, 84.46153846153847, 1551058197.482682)
('P, I, D, (E), (T) --->', -33.45540979536952, -50.060131898653566, 172.68238907054757, 84.76923076923077, 1551058197.536796)
('P, I, D, (E), (T) --->', -33.680850258290235, -58.71091620761702, 172.7176914564149, 86.15384615384616, 1551058197.581275)
('P, I, D, (E), (T) --->', -33.688990254772506, -63.044448358581015, 172.6749668470399, 86.23076923076923, 1551058197.605535)
('P, I, D, (E), (T) --->', -33.42774144399442, -64.94996562328492, 172.68238907054757, 85.07692307692308, 1551058197.629727)
('P, I, D, (E), (T) --->', -33.62524036519372, -66.10022317683618, 172.7176914564149, 86.15384615384616, 1551058197.652946)
('P, I, D, (E), (T) --->', -33.6223793902804, -66.67249097869849, 172.7594852796571, 86.26923076923077, 1551058197.676799)
('P, I, D, (E), (T) --->', -33.27121054979767, -66.60745603914691, 173.04908065990304, 85.11538461538461, 1551058197.700778)
('P, I, D, (E), (T) --->', -33.615764407227516, -66.91949242680097, 173.31663589671945, 85.34615384615384, 1551058197.724479)
('P, I, D, (E), (T) --->', -33.680850258290235, -67.14059647169071, 172.7176914564149, 85.92307692307692, 1551058197.753901)
('P, I, D, (E), (T) --->', -33.645392462519965, -67.21569069836532, 172.7594852796571, 86.07692307692308, 1551058197.785825)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.26090042740114, 172.7176914564149, 86.15384615384616, 1551058197.823492)
('P, I, D, (E), (T) --->', -33.29622573113576, -66.92667594483633, 173.04908065990304, 85.03846153846153, 1551058197.855563)
('P, I, D, (E), (T) --->', -33.55428607458873, -67.0176240470069, 172.7594852796571, 85.65384615384616, 1551058197.887876)
('P, I, D, (E), (T) --->', -33.27121054979767, -66.78002257330112, 173.04908065990304, 84.88461538461539, 1551058197.920424)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.04306636486903, 172.7176914564149, 85.92307692307692, 1551058197.955487)
('P, I, D, (E), (T) --->', -33.65303661617634, -67.17456979861086, 172.7176914564149, 86.07692307692308, 1551058197.987824)
('P, I, D, (E), (T) --->', -33.38707297457765, -66.97435787388308, 172.68238907054757, 84.88461538461539, 1551058198.02401)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.14023401516002, 172.7176914564149, 86.3076923076923, 1551058198.055719)
('P, I, D, (E), (T) --->', -33.427716003496926, -66.99783301107693, 172.68238907054757, 85.0, 1551058198.087781)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.15197158375693, 172.7176914564149, 85.84615384615384, 1551058198.119902)
('P, I, D, (E), (T) --->', -33.31892690796931, -66.89491269984778, 172.68238907054757, 84.5, 1551058198.155867)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.10051142814237, 172.7176914564149, 86.07692307692308, 1551058198.187928)
('P, I, D, (E), (T) --->', -33.65303661617634, -67.20329233024752, 172.7176914564149, 86.0, 1551058198.2239)
('P, I, D, (E), (T) --->', -33.65303661617634, -67.25468278130009, 172.7176914564149, 86.15384615384616, 1551058198.256317)
('P, I, D, (E), (T) --->', -34.00980113868735, -67.6371425293374, 172.10030393535715, 85.23076923076923, 1551058198.288118)
('P, I, D, (E), (T) --->', -33.40002747780579, -67.21859874247448, 172.68238907054757, 85.15384615384616, 1551058198.320211)
('P, I, D, (E), (T) --->', -33.62524036519372, -67.23453973643096, 172.7176914564149, 86.15384615384616, 1551058198.357078)
('P, I, D, (E), (T) --->', -33.6178978556153, -67.23516772383078, 172.7594852796571, 86.07692307692308, 1551058198.387821)
('P, I, D, (E), (T) --->', -33.62522189349818, -67.24280575541357, 172.7176914564149, 86.23076923076923, 1551058198.423977)
('P, I, D, (E), (T) --->', -33.65303661617634, -67.27443949388312, 172.7176914564149, 86.07692307692308, 1551058198.455541)
('P, I, D, (E), (T) --->', -33.680850258290235, -67.31807000523179, 172.7176914564149, 86.07692307692308, 1551058198.487635)
('P, I, D, (E), (T) --->', -33.65303661617634, -67.31207161879223, 172.7176914564149, 86.0, 1551058198.520249)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.30909088761459, 172.7176914564149, 86.0, 1551058198.555525)
('P, I, D, (E), (T) --->', -33.234418184732164, -66.88896362853946, 173.04908065990304, 84.53846153846153, 1551058198.588208)
('P, I, D, (E), (T) --->', -33.65303661617634, -67.09751843044606, 172.7176914564149, 86.23076923076923, 1551058198.624432)
('P, I, D, (E), (T) --->', -33.42774144399442, -66.97650065921745, 172.68238907054757, 85.0, 1551058198.655613)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.14130540782719, 172.7176914564149, 86.23076923076923, 1551058198.687906)
('P, I, D, (E), (T) --->', -33.62522189349818, -67.19587459741177, 172.7176914564149, 86.23076923076923, 1551058198.72013)
('P, I, D, (E), (T) --->', -33.65303661617634, -67.25097391488222, 172.7176914564149, 86.0, 1551058198.755994)
('P, I, D, (E), (T) --->', -33.680850258290235, -67.30633721573135, 172.7176914564149, 85.92307692307692, 1551058198.787568)
('P, I, D, (E), (T) --->', -33.42774144399442, -67.08091005186009, 172.68238907054757, 85.15384615384616, 1551058198.823616)
('P, I, D, (E), (T) --->', -33.40002747780579, -66.94048250373584, 172.68238907054757, 85.15384615384616, 1551058198.855504)
('P, I, D, (E), (T) --->', -33.42774144399442, -66.89798269586234, 172.68238907054757, 85.07692307692308, 1551058198.887661)
('P, I, D, (E), (T) --->', -33.63622904984459, -67.08522039777576, 172.7594852796571, 85.92307692307692, 1551058198.919317)
('P, I, D, (E), (T) --->', -34.22929293144034, -67.77190313032821, 172.1414351411509, 86.3076923076923, 1551058198.95534)
('P, I, D, (E), (T) --->', -33.427716003496926, -67.31366756866103, 172.68238907054757, 84.92307692307692, 1551058198.987639)
('P, I, D, (E), (T) --->', -33.42774144399442, -67.08457522832494, 172.68238907054757, 85.07692307692308, 1551058199.023845)
('P, I, D, (E), (T) --->', -33.321243282061886, -66.86353089622435, 173.04908065990304, 84.65384615384616, 1551058199.055581)
('P, I, D, (E), (T) --->', -33.234418184732164, -66.66618363284434, 173.04908065990304, 84.46153846153847, 1551058199.087625)
('P, I, D, (E), (T) --->', -33.608730074305555, -66.94182189072772, 172.7594852796571, 86.23076923076923, 1551058199.119578)
('P, I, D, (E), (T) --->', -33.63622904984459, -67.10713999520846, 172.7594852796571, 85.84615384615384, 1551058199.155362)
('P, I, D, (E), (T) --->', -33.65303046216076, -67.20660045976499, 172.7176914564149, 86.0, 1551058199.188034)
('P, I, D, (E), (T) --->', -33.45540979536952, -67.05871002525201, 172.68238907054757, 84.92307692307692, 1551058199.223188)
('P, I, D, (E), (T) --->', -33.65305507821847, -67.18241009084448, 172.7176914564149, 86.0, 1551058199.255683)
('P, I, D, (E), (T) --->', -33.608730074305555, -67.1999351197278, 172.7594852796571, 86.07692307692308, 1551058199.287536)
