Active on port: 4001
init camera on /dev/video1
green
[52, 132, 93]
red
[8, 253, 139]
('P, I, D, (E), (T) --->', -4.226401557932974, -4.226401557932974, 173.1661031086785, 87.8076923076923, 1551058395.974662)
('P, I, D, (E), (T) --->', -4.226401557932974, -6.3396023368994605, 173.1661031086785, 87.57692307692308, 1551058396.009065)
('P, I, D, (E), (T) --->', -4.450028182444413, -7.619829350894143, 172.90237782791678, 87.73076923076923, 1551058396.046566)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.036316233380045, 173.1661031086785, 87.8076923076923, 1551058396.078977)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.244559674622996, 173.1661031086785, 87.0, 1551058396.105191)
('P, I, D, (E), (T) --->', -4.454103132185509, -8.576382969497008, 172.90237782791678, 86.96153846153847, 1551058396.13701)
('P, I, D, (E), (T) --->', -4.394728411657013, -8.682919896405517, 172.90237782791678, 86.73076923076923, 1551058396.172891)
('P, I, D, (E), (T) --->', -4.073745604341809, -8.415205552544567, 173.34915517166678, 87.57692307692308, 1551058396.205997)
('P, I, D, (E), (T) --->', -4.073745604341809, -8.281348380614093, 173.34915517166678, 87.61538461538461, 1551058396.239026)
('P, I, D, (E), (T) --->', -4.394728411657013, -8.535402601964059, 172.90237782791678, 86.8076923076923, 1551058396.273292)
('P, I, D, (E), (T) --->', -4.454103132185509, -8.721804433167538, 172.90237782791678, 86.61538461538461, 1551058396.307055)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.587303774516743, 173.1661031086785, 87.46153846153847, 1551058396.33934)
('P, I, D, (E), (T) --->', -4.405413668419584, -8.699065555677954, 172.90237782791678, 86.23076923076923, 1551058396.374243)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.57593433577195, 173.1661031086785, 87.42307692307692, 1551058396.405626)
('P, I, D, (E), (T) --->', -4.400085276558258, -8.688052444444233, 172.90237782791678, 86.61538461538461, 1551058396.436497)
('P, I, D, (E), (T) --->', -4.4526519543693155, -8.796678176591431, 172.90237782791678, 86.92307692307692, 1551058396.473195)
('P, I, D, (E), (T) --->', -4.450028182444413, -8.848367270740129, 172.90237782791678, 88.03846153846153, 1551058396.505963)
('P, I, D, (E), (T) --->', -4.4526519543693155, -8.876835589739379, 172.90237782791678, 87.57692307692308, 1551058396.537729)
('P, I, D, (E), (T) --->', -4.369524473426367, -8.807942268296056, 172.90237782791678, 86.65384615384616, 1551058396.574313)
('P, I, D, (E), (T) --->', -4.402751628103914, -8.806722762251942, 172.90237782791678, 86.53846153846153, 1551058396.605792)
('P, I, D, (E), (T) --->', -4.223927334405943, -8.627288715531915, 173.1661031086785, 87.96153846153847, 1551058396.637271)
('P, I, D, (E), (T) --->', -4.4514822421230065, -8.765126599888964, 172.90237782791678, 86.57692307692308, 1551058396.673118)
('P, I, D, (E), (T) --->', -4.4526519543693155, -8.835215254313798, 172.90237782791678, 87.6923076923077, 1551058396.705815)
('P, I, D, (E), (T) --->', -4.394728411657013, -8.812336038813912, 172.90237782791678, 86.8076923076923, 1551058396.738456)
('P, I, D, (E), (T) --->', -4.397405340748634, -8.803573360155589, 172.90237782791678, 86.38461538461539, 1551058396.773518)
('P, I, D, (E), (T) --->', -4.144234041942468, -8.546020722020263, 173.36005826944438, 88.3076923076923, 1551058396.805645)
('P, I, D, (E), (T) --->', -4.4514822421230065, -8.724492603133138, 172.90237782791678, 87.8076923076923, 1551058396.838147)
('P, I, D, (E), (T) --->', -4.454103132185509, -8.816349433752077, 172.90237782791678, 86.65384615384616, 1551058396.872951)
('P, I, D, (E), (T) --->', -1.4815614765218186, -5.889736193397857, 173.72770049018737, 87.38461538461539, 1551058396.904879)
('P, I, D, (E), (T) --->', -4.073745604341809, -7.018613701040738, 173.34915517166678, 87.65384615384616, 1551058396.936539)
('P, I, D, (E), (T) --->', -4.073745604341809, -7.5830524548621785, 173.34915517166678, 87.5, 1551058396.972335)
('P, I, D, (E), (T) --->', -4.071379392343971, -7.86290561977506, 173.34915517166678, 87.88461538461539, 1551058397.005379)
('P, I, D, (E), (T) --->', -4.386894026222535, -8.318346836110065, 172.9705464680535, 87.76923076923077, 1551058397.03696)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.385574975988007, 173.1661031086785, 87.65384615384616, 1551058397.072867)
('P, I, D, (E), (T) --->', -4.405413668419584, -8.598201156413587, 172.90237782791678, 86.6923076923077, 1551058397.105296)
('P, I, D, (E), (T) --->', -4.223927334405943, -8.523027912612736, 173.1661031086785, 87.65384615384616, 1551058397.138571)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.487915514239342, 173.1661031086785, 87.73076923076923, 1551058397.17299)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.470359315052644, 173.1661031086785, 87.46153846153847, 1551058397.205958)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.461581215459296, 173.1661031086785, 87.42307692307692, 1551058397.238545)
('P, I, D, (E), (T) --->', -4.300107829810457, -8.530898437540106, 173.1770062064561, 88.34615384615384, 1551058397.271836)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.491850776703027, 173.1661031086785, 87.57692307692308, 1551058397.304776)
('P, I, D, (E), (T) --->', -4.340721149324452, -8.586646537675964, 172.90237782791678, 86.42307692307692, 1551058397.337763)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.519724826770956, 173.1661031086785, 87.42307692307692, 1551058397.372466)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.48626397131845, 173.1661031086785, 87.8076923076923, 1551058397.405015)
('P, I, D, (E), (T) --->', -4.413364577365627, -8.656496563024852, 172.90237782791678, 86.15384615384616, 1551058397.437102)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.5546498394454, 173.1661031086785, 87.57692307692308, 1551058397.472933)
('P, I, D, (E), (T) --->', -4.223927334405943, -8.501252254128643, 173.1661031086785, 87.65384615384616, 1551058397.506376)
('P, I, D, (E), (T) --->', -4.223927334405943, -8.474553461470265, 173.1661031086785, 87.53846153846153, 1551058397.536936)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.463678288668106, 173.1661031086785, 87.65384615384616, 1551058397.572647)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.458240702267027, 173.1661031086785, 87.65384615384616, 1551058397.604438)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.455521909066487, 173.1661031086785, 87.73076923076923, 1551058397.638223)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.454162512466217, 173.1661031086785, 87.8076923076923, 1551058397.672763)
('P, I, D, (E), (T) --->', -4.4526519543693155, -8.679733210602425, 172.90237782791678, 86.53846153846153, 1551058397.704857)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.566268163234186, 173.1661031086785, 87.38461538461539, 1551058397.736712)
('P, I, D, (E), (T) --->', -4.300107829810457, -8.58324191142755, 173.1770062064561, 88.73076923076923, 1551058397.772811)
('P, I, D, (E), (T) --->', -4.408068563120139, -8.699689518833914, 172.90237782791678, 86.65384615384616, 1551058397.805171)
('P, I, D, (E), (T) --->', -4.4526519543693155, -8.802496713786272, 172.90237782791678, 87.8076923076923, 1551058397.838219)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.62764991482611, 173.1661031086785, 87.3076923076923, 1551058397.872589)
('P, I, D, (E), (T) --->', -4.372225343035836, -8.68605030044889, 172.90237782791678, 86.8076923076923, 1551058397.90515)
('P, I, D, (E), (T) --->', -4.4567188400652356, -8.79974399028968, 172.90237782791678, 86.65384615384616, 1551058397.936699)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.626273553077814, 173.1661031086785, 87.65384615384616, 1551058397.972378)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.539538334471882, 173.1661031086785, 87.65384615384616, 1551058398.00538)
('P, I, D, (E), (T) --->', -4.4526519543693155, -8.722421121605256, 172.90237782791678, 87.53846153846153, 1551058398.036863)
('P, I, D, (E), (T) --->', -4.223927334405943, -8.585137895208572, 173.1661031086785, 87.57692307692308, 1551058398.072808)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.51897050553726, 173.1661031086785, 87.34615384615384, 1551058398.105769)
('P, I, D, (E), (T) --->', -4.435782307731927, -8.695267560500557, 172.90237782791678, 85.26923076923077, 1551058398.137413)
('P, I, D, (E), (T) --->', -4.400085276558258, -8.747719056808537, 172.90237782791678, 86.57692307692308, 1551058398.172817)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.600261086337241, 173.1661031086785, 87.88461538461539, 1551058398.204909)
('P, I, D, (E), (T) --->', -4.4514822421230065, -8.751612785291627, 172.90237782791678, 87.65384615384616, 1551058398.237505)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.602207950578787, 173.1661031086785, 87.0, 1551058398.273083)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.527505533222367, 173.1661031086785, 87.38461538461539, 1551058398.306209)
('P, I, D, (E), (T) --->', -4.4567188400652356, -8.72047160667642, 172.90237782791678, 86.5, 1551058398.338749)
('P, I, D, (E), (T) --->', -4.422716025801293, -8.782951829139503, 172.90237782791678, 85.57692307692308, 1551058398.372236)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.617877472502725, 173.1661031086785, 87.5, 1551058398.404552)
('P, I, D, (E), (T) --->', -4.402751628103914, -8.711690364355277, 172.90237782791678, 86.5, 1551058398.436892)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.582246740110612, 173.1661031086785, 87.8076923076923, 1551058398.473103)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.51752492798828, 173.1661031086785, 87.65384615384616, 1551058398.505342)
('P, I, D, (E), (T) --->', -4.300107829810457, -8.558870293804597, 173.1770062064561, 88.42307692307692, 1551058398.537141)
('P, I, D, (E), (T) --->', -4.4514822421230065, -8.730917389025304, 172.90237782791678, 87.96153846153847, 1551058398.573287)
('P, I, D, (E), (T) --->', -4.4514822421230065, -8.816940936635659, 172.90237782791678, 87.96153846153847, 1551058398.604913)
('P, I, D, (E), (T) --->', -4.417456876986307, -8.825927345304137, 172.90237782791678, 85.6923076923077, 1551058398.636561)
('P, I, D, (E), (T) --->', -4.223927334405943, -8.636891007058011, 173.1661031086785, 87.96153846153847, 1551058398.672644)
('P, I, D, (E), (T) --->', -4.226401557932974, -8.54484706146198, 173.1661031086785, 87.53846153846153, 1551058398.704331)
('P, I, D, (E), (T) --->', -4.400085276558258, -8.672508807289248, 172.90237782791678, 86.53846153846153, 1551058398.7372)
('P, I, D, (E), (T) --->', -4.450028182444413, -8.786282586089037, 172.90237782791678, 88.5, 1551058398.772653)
('P, I, D, (E), (T) --->', -4.4514822421230065, -8.844623535167525, 172.90237782791678, 87.88461538461539, 1551058398.804312)
