Active on port: 4000
black
[75, 54, 19]
('P, I, D, (E), (T) --->', -2.553535217285156, -2.553535217285156, -2.553535217285156, 66.41818181818182, 1551058400.892321)
('P, I, D, (E), (T) --->', -2.553535217285156, -3.8303028259277343, 0.0, 66.4, 1551058401.068921)
('P, I, D, (E), (T) --->', -2.553535217285156, -4.468686630249024, 0.0, 66.4, 1551058401.416807)
('P, I, D, (E), (T) --->', -2.553535217285156, -4.7878785324096675, 0.0, 66.4, 1551058401.597401)
('P, I, D, (E), (T) --->', -2.553535217285156, -4.94747448348999, 0.0, 66.4, 1551058401.721874)
('P, I, D, (E), (T) --->', -2.553535217285156, -5.027272459030151, 0.0, 66.41818181818182, 1551058401.846094)
('P, I, D, (E), (T) --->', -2.553535217285156, -5.067171446800232, 0.0, 66.43636363636364, 1551058401.968398)
('P, I, D, (E), (T) --->', -2.553535217285156, -5.087120940685272, 0.0, 66.43636363636364, 1551058402.090289)
('P, I, D, (E), (T) --->', -2.553535217285156, -5.097095687627792, 0.0, 66.4, 1551058402.213535)
('P, I, D, (E), (T) --->', -2.553535217285156, -5.102083061099052, 0.0, 66.4, 1551058402.338154)
('P, I, D, (E), (T) --->', -2.553535217285156, -5.104576747834683, 0.0, 66.38181818181818, 1551058402.550615)
('P, I, D, (E), (T) --->', -2.553535217285156, -5.105823591202498, 0.0, 66.38181818181818, 1551058402.768487)
('P, I, D, (E), (T) --->', -2.553535217285156, -5.106447012886405, 0.0, 66.4, 1551058402.951125)
('P, I, D, (E), (T) --->', -2.7240696716308594, -5.277293178074062, -0.17053445434570325, 66.43636363636364, 1551058403.137756)
('P, I, D, (E), (T) --->', -2.553535217285156, -5.192181806322187, 0.17053445434570325, 66.4, 1551058403.45487)
('P, I, D, (E), (T) --->', -2.553535217285156, -5.14962612044625, 0.0, 66.4, 1551058403.62918)
('P, I, D, (E), (T) --->', -2.553535217285156, -5.128348277508281, 0.0, 66.41818181818182, 1551058403.751251)
('P, I, D, (E), (T) --->', -2.553535217285156, -5.117709356039297, 0.0, 66.43636363636364, 1551058403.873409)
