connected to 192.168.1.17
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1551389029.79,41,24,0,0,0,0,0,0,0,0,0,0,0,0,41.6666666667,24.6666666667,18.5128205128,-20.5961294656,-40.5987652413,-7.90777186515
1551389029.8,41,24,0,0,0,0,0,0,42.3333333333,24.0,16.6666666667,-21.7122965144,-42.0287416009,-9.23145666897,41.6666666667,24.6666666667,18.5128205128,-20.5961294656,-40.5987652413,-7.90777186515
1551389029.8,41,24,0,0,0,0,0,0,42.3333333333,24.0,16.6666666667,-21.7122965144,-42.0287416009,-9.23145666897,41.6666666667,24.6666666667,18.7051282051,-20.7706800165,-41.0700626372,-7.73256281974
1551389029.81,41,24,0,0,0,0,0,0,42.3333333333,24.0,16.5641025641,-21.656188482,-42.6705592825,-9.23145666897,41.6666666667,24.6666666667,18.7051282051,-20.7706800165,-41.0700626372,-7.73256281974
1551389029.81,41,24,0,0,0,0,0,0,42.3333333333,24.0,16.5641025641,-21.656188482,-42.6705592825,-9.23145666897,41.0,25.3333333333,18.4871794872,-18.7275687809,-39.2626000995,-7.35308806769
1551389029.82,41,24,0,0,0,0,0,0,42.3333333333,24.0,16.6025641026,-21.6203190745,-42.9555987157,-9.13318243802,41.0,25.3333333333,18.4871794872,-18.7275687809,-39.2626000995,-7.35308806769
1551389029.82,41,24,0,0,0,0,0,0,42.3333333333,24.0,16.6025641026,-21.6203190745,-42.9555987157,-9.13318243802,41.6666666667,24.6666666667,18.4615384615,-20.542956553,-40.1742566028,-7.90777186515
1551389029.83,41,24,0,0,0,0,0,0,42.3333333333,24.0,16.6538461538,-21.7282602097,-43.2060595676,-9.23145666897,41.6666666667,24.6666666667,18.4615384615,-20.542956553,-40.1742566028,-7.90777186515
1551389029.83,41,24,0,0,0,0,0,0,42.3333333333,24.0,16.6538461538,-21.7282602097,-43.2060595676,-9.23145666897,41.6666666667,24.6666666667,18.6282051282,-20.5642009062,-40.6513292076,-8.09749964835
1551389029.84,41,24,0,0,0,0,0,0,41.6666666667,24.6666666667,16.6153846154,-19.9347294545,-41.5377592383,-8.65390957058,41.6666666667,24.6666666667,18.6282051282,-20.5642009062,-40.6513292076,-8.09749964835
