connected to 192.168.1.17
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1551391521.5,33,33,0,0,0,0,0,0,0,0,0,0,0,0,33.0,33.3333333333,18.3076923077,1.59317204416,2.616191242,-3.10196752918
1551391521.51,34,32,0,0,0,0,0,0,35.6666666667,30.6666666667,16.858974359,-4.51781049674,-7.13089018673,-5.57369063581,33.0,33.3333333333,18.3076923077,1.59317204416,2.616191242,-3.10196752918
1551391521.51,34,32,0,0,0,0,0,0,35.6666666667,30.6666666667,16.858974359,-4.51781049674,-7.13089018673,-5.57369063581,33.0,33.3333333333,18.5641025641,1.52432794129,2.83242356229,-3.0363347371
1551391521.52,34,32,0,0,0,0,0,0,35.6666666667,30.6666666667,16.9102564103,-4.51202362882,-8.07746872218,-5.56790376789,33.0,33.3333333333,18.5641025641,1.52432794129,2.83242356229,-3.0363347371
1551391521.52,34,31,0,0,0,0,0,0,35.6666666667,30.6666666667,16.9102564103,-4.51202362882,-8.07746872218,-5.56790376789,34.0,32.3333333333,18.7692307692,-0.369210030789,1.04700175035,-3.68013693308
1551391521.53,36,29,42.3333333333,24.0,10.9424242424,-18.315,-36.6300357667,0.0,35.6666666667,30.6666666667,16.9102564103,-4.51202362882,-8.07746872218,-5.56790376789,34.0,32.3333333333,18.7692307692,-0.369210030789,1.04700175035,-3.68013693308
1551391521.53,36,29,42.3333333333,24.0,10.9424242424,-18.315,-36.6300357667,0.0,35.6666666667,30.6666666667,16.1538461538,-4.19043321495,-8.22916757604,-5.65728232109,34.0,32.3333333333,18.7692307692,-0.369210030789,1.04700175035,-3.68013693308
1551391521.54,36,29,42.3333333333,24.0,10.9424242424,-18.315,-36.6300357667,0.0,35.6666666667,30.6666666667,16.1538461538,-4.19043321495,-8.22916757604,-5.65728232109,34.0,32.3333333333,18.8846153846,-0.347831723273,0.175669151904,-3.68013693308
1551391521.54,36,30,42.3333333333,24.0,10.9424242424,-18.315,-36.6300357667,0.0,35.0,31.3333333333,16.8076923077,-2.51300109947,-6.62758488749,-4.98929626537,34.0,32.3333333333,18.8846153846,-0.347831723273,0.175669151904,-3.68013693308
1551391521.55,35,30,42.3333333333,24.0,10.9424242424,-18.315,-36.6300357667,0.0,35.0,31.3333333333,16.8076923077,-2.51300109947,-6.62758488749,-4.98929626537,33.0,33.3333333333,18.6538461538,1.70674523728,1.79457981323,-3.1927220662
