connected to 192.168.1.17
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1551387601.98,30,36,30.0,36.3333333333,10.5090909091,6.4935,12.9710957551,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1551387602.01,29,36,30.0,36.3333333333,10.5151515152,6.4935,12.9790478775,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1551387602.1,30,36,30.0,36.3333333333,10.4878787879,6.327,12.8165239388,-0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1551387602.19,32,34,32.3333333333,34.0,10.203030303,3.4965,9.90476196939,-2.8305,0,0,0,0,0,0,0,0,0,0,0,0
1551387602.29,35,31,35.3333333333,31.0,10.3696969697,-1.16549491882,3.78688606587,-4.66199491882,0,0,0,0,0,0,0,0,0,0,0,0
1551387602.38,36,30,36.0,30.3333333333,10.6181818182,-3.8295,-1.93605696707,-2.66400508118,0,0,0,0,0,0,0,0,0,0,0,0
1551387602.48,36,30,36.3333333333,30.0,10.7151515152,-5.328,-6.29602848353,-1.4985,0,0,0,0,0,0,0,0,0,0,0,0
1551387602.57,36,30,36.0,30.3333333333,10.796969697,-5.661,-8.80901424177,-0.333,0,0,0,0,0,0,0,0,0,0,0,0
1551387602.66,36,29,36.6666666667,29.6666666667,10.8545454545,-6.4935,-10.8980071209,-0.8325,0,0,0,0,0,0,0,0,0,0,0,0
1551387602.76,38,27,38.3333333333,28.0,11.0939393939,-8.8245,-14.2735035604,-2.331,0,0,0,0,0,0,0,0,0,0,0,0
1551387602.85,40,26,40.0,26.3333333333,12.0545454545,-11.655,-18.7917517802,-2.8305,0,0,0,0,0,0,0,0,0,0,0,0
1551387602.94,40,25,40.6666666667,25.6666666667,12.9090909091,-13.653,-23.0488758901,-1.998,0,0,0,0,0,0,0,0,0,0,0,0
1551387603.04,41,25,41.0,25.3333333333,13.5484848485,-14.8185,-26.3429379451,-1.1655,0,0,0,0,0,0,0,0,0,0,0,0
1551387603.13,43,22,43.6666666667,22.6666666667,13.2424242424,-18.4815,-31.6529689725,-3.663,0,0,0,0,0,0,0,0,0,0,0,0
1551387603.23,45,21,45.3333333333,21.0,12.9727272727,-21.9779898376,-37.8044743239,-3.49648983765,0,0,0,0,0,0,0,0,0,0,0,0
1551387603.32,46,20,46.0,20.3333333333,12.6454545455,-24.1425,-43.044737162,-2.16451016235,0,0,0,0,0,0,0,0,0,0,0,0
1551387603.41,45,20,45.6666666667,20.6666666667,12.1545454545,-24.642,-46.164368581,-0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1551387603.51,45,21,45.3333333333,21.0,11.7818181818,-24.309,-47.3911842905,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1551387603.6,45,21,45.3333333333,21.0,11.5212121212,-23.976,-47.6715921452,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1551387603.7,45,20,45.6666666667,20.6666666667,11.8484848485,-24.4755,-48.3112960726,-0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1551387603.79,45,21,45.3333333333,21.0,12.5424242424,-24.1425,-48.2981480363,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1551387603.88,44,22,44.3333333333,22.0,13.1333333333,-22.8105,-46.9595740182,1.332,0,0,0,0,0,0,0,0,0,0,0,0
1551387603.98,40,25,40.6666666667,25.6666666667,12.7848484848,-17.8155,-41.2952870091,4.995,0,0,0,0,0,0,0,0,0,0,0,0
1551387604.07,43,22,43.3333333333,23.0,12.3787878788,-19.1474898376,-39.7951333422,-1.33198983765,0,0,0,0,0,0,0,0,0,0,0,0
1551387604.17,44,21,44.6666666667,21.6666666667,11.9363636364,-21.312,-41.2095666711,-2.16451016235,0,0,0,0,0,0,0,0,0,0,0,0
1551387604.26,44,22,44.3333333333,22.0,12.3515151515,-21.8115,-42.4162833355,-0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1551387604.35,44,21,44.6666666667,21.6666666667,11.6545454545,-22.4775,-43.6856416678,-0.666,0,0,0,0,0,0,0,0,0,0,0,0
1551387604.45,43,23,43.3333333333,23.0,12.0363636364,-21.1455,-42.9883208339,1.332,0,0,0,0,0,0,0,0,0,0,0,0
1551387604.54,44,22,44.0,22.3333333333,11.6181818182,-21.3119898376,-42.8061502546,-0.166489837646,0,0,0,0,0,0,0,0,0,0,0,0
1551387604.63,43,23,43.0,23.3333333333,11.4181818182,-20.313,-41.7160751273,0.998989837646,0,0,0,0,0,0,0,0,0,0,0,0
1551387604.73,42,23,42.6666666667,23.6666666667,11.196969697,-19.4805,-40.3385375636,0.8325,0,0,0,0,0,0,0,0,0,0,0,0
1551387604.82,42,24,42.0,24.3333333333,11.1,-18.1485,-38.3177687818,1.332,0,0,0,0,0,0,0,0,0,0,0,0
1551387604.97,41,24,41.3333333333,25.0,10.8515151515,-16.8164949188,-35.9753793097,1.33200508118,0,0,0,0,0,0,0,0,0,0,0,0
1551387605.0,41,25,41.0,25.3333333333,10.7303030303,-15.8174949188,-33.8051845737,0.999,0,0,0,0,0,0,0,0,0,0,0,0
1551387605.1,38,28,38.0,28.3333333333,10.2363636364,-12.1545,-29.0570922868,3.66299491882,0,0,0,0,0,0,0,0,0,0,0,0
1551387605.19,35,31,35.3333333333,31.0,10.2727272727,-7.4925,-22.0210461434,4.662,0,0,0,0,0,0,0,0,0,0,0,0
1551387605.29,33,32,33.6666666667,32.6666666667,10.4212121212,-3.663,-14.6735230717,3.8295,0,0,0,0,0,0,0,0,0,0,0,0
1551387605.39,32,34,32.3333333333,34.0,10.4818181818,-0.499494918823,-7.83625645468,3.16350508118,0,0,0,0,0,0,0,0,0,0,0,0
1551387605.48,31,34,31.6666666667,34.6666666667,10.6515151515,1.665,-2.25312822734,2.16449491882,0,0,0,0,0,0,0,0,0,0,0,0
1551387605.57,31,35,31.0,35.3333333333,10.7818181818,3.1635,2.03693588633,1.4985,0,0,0,0,0,0,0,0,0,0,0,0
1551387605.66,30,36,30.3333333333,36.0,10.6848484848,4.4955,5.51396794317,1.332,0,0,0,0,0,0,0,0,0,0,0,0
1551387605.76,29,37,29.3333333333,37.0,10.6484848485,6.327,9.08398397158,1.8315,0,0,0,0,0,0,0,0,0,0,0,0
1551387605.85,28,37,28.6666666667,37.6666666667,10.6636363636,7.8255,12.3674919858,1.4985,0,0,0,0,0,0,0,0,0,0,0,0
1551387605.95,28,37,28.6666666667,37.6666666667,10.6484848485,8.658,14.8417459929,0.8325,0,0,0,0,0,0,0,0,0,0,0,0
1551387606.04,28,37,29.0,37.3333333333,10.6393939394,8.4915,15.9123729964,-0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1551387606.13,29,37,29.3333333333,37.0,10.6121212121,7.992,15.9481864982,-0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1551387606.23,28,37,28.6666666667,37.6666666667,11.4,8.658,16.6320932491,0.666,0,0,0,0,0,0,0,0,0,0,0,0
1551387606.32,27,38,27.6666666667,38.6666666667,11.7818181818,9.99,18.3060466246,1.332,0,0,0,0,0,0,0,0,0,0,0,0
1551387606.41,27,39,27.3333333333,39.0,12.3818181818,10.8225,19.9755233123,0.8325,0,0,0,0,0,0,0,0,0,0,0,0
1551387606.51,24,41,24.6666666667,41.6666666667,12.3333333333,14.319,24.3067616561,3.4965,0,0,0,0,0,0,0,0,0,0,0,0
1551387606.6,23,43,23.3333333333,43.0,12.0939393939,17.316,29.4693808281,2.997,0,0,0,0,0,0,0,0,0,0,0,0
1551387606.69,22,43,22.6666666667,43.6666666667,11.8878787879,19.4805,34.215190414,2.1645,0,0,0,0,0,0,0,0,0,0,0,0
1551387606.79,22,44,22.3333333333,44.0,11.7212121212,20.8125,37.920095207,1.332,0,0,0,0,0,0,0,0,0,0,0,0
