connected to 192.168.1.17
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1551391923.88,35,31,0,0,0,0,0,0,0,0,0,0,0,0,35.0,31.3333333333,19.1025641026,-3.34623519746,-6.12771611682,-3.69138336182
1551391923.88,35,31,0,0,0,0,0,0,35.3333333333,31.0,16.6025641026,-3.68947522193,-7.70161493816,-4.89685852123,35.0,31.3333333333,19.1025641026,-3.34623519746,-6.12771611682,-3.69138336182
1551391923.89,37,29,43.6666666667,22.6666666667,11.0696969697,-20.4795,-40.958999866,0.0,35.3333333333,31.0,16.6025641026,-3.68947522193,-7.70161493816,-4.89685852123,35.0,31.3333333333,19.1025641026,-3.34623519746,-6.12771611682,-3.69138336182
1551391923.89,37,29,43.6666666667,22.6666666667,11.0696969697,-20.4795,-40.958999866,0.0,35.3333333333,31.0,16.6025641026,-3.68947522193,-7.70161493816,-4.89685852123,35.0,31.3333333333,19.1282051282,-3.29572512008,-6.35958317849,-3.75172424316
1551391923.9,37,29,43.6666666667,22.6666666667,11.0696969697,-20.4795,-40.958999866,0.0,35.6666666667,30.6666666667,16.6538461538,-4.26808272446,-8.11889019353,-5.47546602375,35.0,31.3333333333,19.1282051282,-3.29572512008,-6.35958317849,-3.75172424316
1551391923.9,37,29,43.6666666667,22.6666666667,11.0696969697,-20.4795,-40.958999866,0.0,35.6666666667,30.6666666667,16.6538461538,-4.26808272446,-8.11889019353,-5.47546602375,35.0,31.3333333333,19.0128205128,-3.29609062431,-6.47588221356,-3.75172424316
1551391923.91,37,29,43.6666666667,22.6666666667,11.0696969697,-20.4795,-40.958999866,0.0,35.3333333333,31.0,16.6923076923,-3.64533735011,-7.70478244688,-4.98929626537,35.0,31.3333333333,19.0128205128,-3.29609062431,-6.47588221356,-3.75172424316
1551391923.91,36,29,43.6666666667,22.6666666667,11.0696969697,-20.4795,-40.958999866,0.0,35.3333333333,31.0,16.6923076923,-3.64533735011,-7.70478244688,-4.98929626537,34.0,32.3333333333,19.1282051282,-1.25830667889,-4.49624778567,-3.25782705759
1551391923.92,36,29,43.6666666667,22.6666666667,11.0181818182,-20.4795,-40.958999933,0.0,35.3333333333,31.0,16.6923076923,-3.64533735011,-7.70478244688,-4.98929626537,34.0,32.3333333333,19.1282051282,-1.25830667889,-4.49624778567,-3.25782705759
1551391923.92,36,29,43.6666666667,22.6666666667,11.0181818182,-20.4795,-40.958999933,0.0,35.3333333333,31.0,16.5897435897,-3.42575814957,-7.278149373,-5.28427154613,34.0,32.3333333333,19.1282051282,-1.25830667889,-4.49624778567,-3.25782705759
