connected to 192.168.1.17
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1551390412.16,39,27,39.0,27.3333333333,10.7212121212,-11.655,-23.3100024793,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1551390412.3,39,27,39.0,27.3333333333,10.7090909091,-11.655,-23.3100012396,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1551390412.39,37,29,37.0,29.3333333333,10.3696969697,-9.32399491882,-20.9789955386,2.33100508118,0,0,0,0,0,0,0,0,0,0,0,0
1551390412.48,36,30,36.0,30.3333333333,10.8242424242,-6.993,-17.4824977693,2.33099491882,0,0,0,0,0,0,0,0,0,0,0,0
1551390412.57,38,27,38.3333333333,28.0,11.6272727273,-8.991,-17.7322488847,-1.998,0,0,0,0,0,0,0,0,0,0,0,0
1551390412.66,40,26,40.0,26.3333333333,12.2727272727,-11.655,-20.5211244423,-2.664,0,0,0,0,0,0,0,0,0,0,0,0
1551390412.76,40,26,40.3333333333,26.0,13.1424242424,-12.987,-23.2475622212,-1.332,0,0,0,0,0,0,0,0,0,0,0,0
1551390412.85,42,23,42.6666666667,23.6666666667,12.9666666667,-16.4835,-28.1072811106,-3.4965,0,0,0,0,0,0,0,0,0,0,0,0
1551390412.94,45,21,45.0,21.3333333333,12.8181818182,-20.6459898376,-34.6996303929,-4.16248983765,0,0,0,0,0,0,0,0,0,0,0,0
1551390413.04,46,19,46.6666666667,19.6666666667,12.6575757576,-24.1425,-41.4923151965,-3.49651016235,0,0,0,0,0,0,0,0,0,0,0,0
1551390413.13,47,19,47.3333333333,19.0,12.3818181818,-26.307,-47.0531575982,-2.1645,0,0,0,0,0,0,0,0,0,0,0,0
1551390413.22,47,19,47.0,19.3333333333,12.0818181818,-26.973,-50.4995787991,-0.666,0,0,0,0,0,0,0,0,0,0,0,0
1551390413.32,46,20,46.0,20.3333333333,11.6727272727,-25.974,-51.2237893996,0.999,0,0,0,0,0,0,0,0,0,0,0,0
1551390413.41,45,20,45.6666666667,20.6666666667,11.5878787879,-25.308,-50.9198946998,0.666,0,0,0,0,0,0,0,0,0,0,0,0
1551390413.51,45,21,45.3333333333,21.0,12.2787878788,-24.4755,-49.9354473499,0.8325,0,0,0,0,0,0,0,0,0,0,0,0
1551390413.6,44,22,44.3333333333,22.0,12.6545454545,-23.1435,-48.1112236749,1.332,0,0,0,0,0,0,0,0,0,0,0,0
1551390413.69,43,23,43.3333333333,23.0,13.403030303,-21.1455,-45.2011118375,1.998,0,0,0,0,0,0,0,0,0,0,0,0
1551390413.79,43,23,43.3333333333,23.0,13.0181818182,-20.313,-42.9135559187,0.8325,0,0,0,0,0,0,0,0,0,0,0,0
1551390413.88,44,22,44.3333333333,22.0,12.6454545455,-21.4785,-42.9352779594,-1.1655,0,0,0,0,0,0,0,0,0,0,0,0
1551390413.97,45,21,45.0,21.3333333333,12.3060606061,-22.4775,-43.9451389797,-0.999,0,0,0,0,0,0,0,0,0,0,0,0
1551390414.07,44,21,44.6666666667,21.6666666667,12.4666666667,-22.4775,-44.4500694898,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1551390414.21,44,22,44.3333333333,22.0,12.2515151515,-22.1445,-44.3695347449,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1551390414.25,41,24,41.6666666667,24.6666666667,11.7848484848,-18.8145,-40.9992673725,3.33,0,0,0,0,0,0,0,0,0,0,0,0
1551390414.39,43,23,43.0,23.3333333333,11.4181818182,-18.981,-39.4806336862,-0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1551390414.48,42,24,42.3333333333,24.0,11.203030303,-18.4815,-38.2218168431,0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1551390414.57,42,24,42.0,24.3333333333,10.9878787879,-17.982,-37.0929084216,0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1551390414.66,42,24,42.0,24.3333333333,10.7333333333,-17.6489949188,-36.1954491296,0.333005081177,0,0,0,0,0,0,0,0,0,0,0,0
1551390414.76,41,24,41.6666666667,24.6666666667,10.7060606061,-17.3159949188,-35.4137194836,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1551390414.85,39,26,39.6666666667,26.6666666667,10.1727272727,-14.652,-32.3588597418,2.66399491882,0,0,0,0,0,0,0,0,0,0,0,0
1551390414.94,37,29,37.3333333333,29.0,10.1666666667,-10.6559949188,-26.8354247897,3.99600508118,0,0,0,0,0,0,0,0,0,0,0,0
1551390415.04,35,30,35.6666666667,30.6666666667,10.2787878788,-7.15949491882,-20.5772073137,3.4965,0,0,0,0,0,0,0,0,0,0,0,0
1551390415.13,34,31,34.6666666667,31.6666666667,10.2696969697,-4.49549491882,-14.7840985757,2.664,0,0,0,0,0,0,0,0,0,0,0,0
L: 0 R: 0 T: 1551390415.2
1551390415.62,33,33,33.3333333333,33.0,10.6212121212,-1.99799491882,-9.39004420666,2.4975,0,0,0,0,0,0,0,0,0,0,0,0
1551390415.77,21,45,21.3333333333,45.0,10.9666666667,13.32,8.62497789667,15.3179949188,0,0,0,0,0,0,0,0,0,0,0,0
1551390415.86,23,42,23.6666666667,42.6666666667,11.0575757576,16.4835,20.7959889483,3.1635,0,0,0,0,0,0,0,0,0,0,0,0
1551390415.95,25,41,25.0,41.3333333333,10.9636363636,16.317,26.7149944742,-0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1551390416.04,26,40,26.3333333333,40.0,11.796969697,14.652,28.0094972371,-1.665,0,0,0,0,0,0,0,0,0,0,0,0
1551390416.13,26,40,26.0,40.3333333333,12.0636363636,14.4855,28.4902486185,-0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1551390416.22,26,40,26.0,40.3333333333,12.3757575758,14.1525,28.3976243093,-0.333,0,0,0,0,0,0,0,0,0,0,0,0
1551390416.32,23,42,23.6666666667,42.6666666667,12.1606060606,16.8165,31.0153121546,2.664,0,0,0,0,0,0,0,0,0,0,0,0
1551390416.41,22,43,22.6666666667,43.6666666667,11.9787878788,19.314,34.8216560773,2.4975,0,0,0,0,0,0,0,0,0,0,0,0
1551390416.51,22,43,22.6666666667,43.6666666667,11.7272727273,20.1465,37.5573280387,0.8325,0,0,0,0,0,0,0,0,0,0,0,0
1551390416.6,22,44,22.0,44.3333333333,11.5393939394,21.1455025406,39.9241665599,0.999002540588,0,0,0,0,0,0,0,0,0,0,0,0
1551390416.69,21,45,21.0,45.3333333333,12.1787878788,22.8105,42.77258328,1.66499745941,0,0,0,0,0,0,0,0,0,0,0,0
1551390416.79,20,45,20.6666666667,45.6666666667,12.6606060606,23.8095,45.19579164,0.999,0,0,0,0,0,0,0,0,0,0,0,0
1551390416.88,21,44,21.6666666667,44.6666666667,13.7,23.1435,45.74139582,-0.666,0,0,0,0,0,0,0,0,0,0,0,0
1551390416.97,20,45,20.6666666667,45.6666666667,13.1545454545,24.1425,47.01319791,0.999,0,0,0,0,0,0,0,0,0,0,0,0
1551390417.07,19,47,19.3333333333,47.0,12.6090909091,25.974,49.480598955,1.8315,0,0,0,0,0,0,0,0,0,0,0,0
1551390417.21,20,46,20.3333333333,46.0,12.1606060606,25.4745,50.2147994775,-0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1551390417.25,21,44,21.3333333333,45.0,11.7272727273,24.1425,49.2498997387,-1.332,0,0,0,0,0,0,0,0,0,0,0,0
1551390417.35,21,45,21.3333333333,45.0,11.3818181818,23.643,48.2679498694,-0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1551390417.44,20,46,20.3333333333,46.0,9.9212121212,24.4755050812,48.6094800159,0.832505081177,0,0,0,0,0,0,0,0,0,0,0,0
1551390417.54,20,45,20.6666666667,45.6666666667,11.6151515152,24.6420050812,48.9467450891,0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1551390417.63,21,44,21.3333333333,45.0,12.7606060606,23.8095,48.2828725446,-0.832505081177,0,0,0,0,0,0,0,0,0,0,0,0
1551390417.78,20,45,20.6666666667,45.6666666667,13.5424242424,24.309,48.4504362723,0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1551390417.92,18,48,18.0,48.3333333333,12.9909090909,27.639,51.8642181361,3.33,0,0,0,0,0,0,0,0,0,0,0,0
1551390418.01,16,49,16.6666666667,49.6666666667,13.4212121212,30.4695,56.4016090681,2.8305,0,0,0,0,0,0,0,0,0,0,0,0
1551390418.1,17,49,17.3333333333,49.0,13.6484848485,30.8025,59.003304534,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1551390418.19,19,47,19.0,47.3333333333,13.8515151515,29.1375,58.639152267,-1.665,0,0,0,0,0,0,0,0,0,0,0,0
1551390418.29,16,49,16.6666666667,49.6666666667,13.5696969697,31.302,60.6215761335,2.1645,0,0,0,0,0,0,0,0,0,0,0,0
1551390418.38,15,51,15.3333333333,51.0,14.9454545455,33.4665,63.7772880668,2.1645,0,0,0,0,0,0,0,0,0,0,0,0
1551390418.47,16,49,16.6666666667,49.6666666667,16.6272727273,32.967,64.8556440334,-0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1551390418.57,17,48,17.6666666667,48.6666666667,17.6909090909,31.4685,63.8963220167,-1.4985,0,0,0,0,0,0,0,0,0,0,0,0
L: 0 R: 0 T: 1551390418.64
1551390419.06,17,49,17.0,49.3333333333,15.4818181818,31.635,63.5831610083,0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1551390419.2,6,60,6.0,60.3333333333,8.1303030303,44.7885,76.5800805042,13.1535,0,0,0,0,0,0,0,0,0,0,0,0
1551390419.29,10,55,10.6666666667,55.6666666667,9.6393939394,44.4555,82.7455402521,-0.333,0,0,0,0,0,0,0,0,0,0,0,0
1551390419.38,14,51,14.6666666667,51.6666666667,11.5272727273,39.4605012703,80.8332713963,-4.99499872971,0,0,0,0,0,0,0,0,0,0,0,0
1551390419.48,21,45,21.0,45.3333333333,10.9696969697,30.1365,70.5531356982,-9.32400127029,0,0,0,0,0,0,0,0,0,0,0,0
1551390419.57,24,41,25.0,41.3333333333,10.7,21.4785,56.7550678491,-8.658,0,0,0,0,0,0,0,0,0,0,0,0
1551390419.66,27,39,27.3333333333,39.0,10.5515151515,15.318,43.6955339245,-6.1605,0,0,0,0,0,0,0,0,0,0,0,0
1551390419.75,28,37,28.6666666667,37.6666666667,10.4212121212,11.322,33.1697669623,-3.996,0,0,0,0,0,0,0,0,0,0,0,0
1551390419.85,30,36,30.3333333333,36.0,10.4393939394,7.992,24.5768834811,-3.33,0,0,0,0,0,0,0,0,0,0,0,0
1551390419.94,30,36,30.3333333333,36.0,10.4818181818,6.327,18.6154417406,-1.665,0,0,0,0,0,0,0,0,0,0,0,0
1551390420.04,31,35,31.0,35.3333333333,10.5939393939,4.995,14.3027208703,-1.332,0,0,0,0,0,0,0,0,0,0,0,0
1551390420.13,32,34,32.0,34.3333333333,10.6787878788,3.4965,10.6478604351,-1.4985,0,0,0,0,0,0,0,0,0,0,0,0
1551390420.23,32,34,32.3333333333,34.0,10.6515151515,2.4975,7.82143021757,-0.999,0,0,0,0,0,0,0,0,0,0,0,0
1551390420.32,32,34,32.3333333333,34.0,10.6636363636,1.8315,5.74221510879,-0.666,0,0,0,0,0,0,0,0,0,0,0,0
1551390420.41,33,33,33.0,33.3333333333,10.6454545455,0.8325,3.70360755439,-0.999,0,0,0,0,0,0,0,0,0,0,0,0
1551390420.5,33,32,33.6666666667,32.6666666667,10.6363636364,-0.333,1.5188037772,-1.1655,0,0,0,0,0,0,0,0,0,0,0,0
1551390420.6,34,32,34.3333333333,32.0,10.6333333333,-1.4985,-0.739098111402,-1.1655,0,0,0,0,0,0,0,0,0,0,0,0
1551390420.69,34,31,34.6666666667,31.6666666667,10.5636363636,-2.49749491882,-2.86704397452,-0.998994918823,0,0,0,0,0,0,0,0,0,0,0,0
1551390420.79,34,31,34.6666666667,31.6666666667,10.5212121212,-2.83049491882,-4.26401690609,-0.333,0,0,0,0,0,0,0,0,0,0,0,0
1551390420.88,34,31,34.6666666667,31.6666666667,10.5212121212,-2.997,-5.12900845304,-0.166505081177,0,0,0,0,0,0,0,0,0,0,0,0
1551390420.97,35,31,35.0,31.3333333333,10.5090909091,-3.33,-5.89450422652,-0.333,0,0,0,0,0,0,0,0,0,0,0,0
1551390421.07,35,31,35.0,31.3333333333,10.4,-3.49649491882,-6.44374703208,-0.166494918823,0,0,0,0,0,0,0,0,0,0,0,0
1551390421.16,34,31,34.6666666667,31.6666666667,10.3484848485,-3.32999491882,-6.55186843487,0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1551390421.25,34,31,34.6666666667,31.6666666667,10.3393939394,-3.16349491882,-6.43942913626,0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1551390421.35,35,31,35.0,31.3333333333,10.3060606061,-3.49649491882,-6.71620948695,-0.333,0,0,0,0,0,0,0,0,0,0,0,0
1551390421.44,35,31,35.0,31.3333333333,10.4121212121,-3.49649491882,-6.8545996623,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1551390421.54,34,31,34.6666666667,31.6666666667,10.4575757576,-3.32999491882,-6.75729474997,0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1551390421.63,34,31,34.6666666667,31.6666666667,10.5818181818,-2.997,-6.37564737499,0.332994918823,0,0,0,0,0,0,0,0,0,0,0,0
1551390421.72,34,32,34.3333333333,32.0,10.6272727273,-2.4975,-5.68532368749,0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1551390421.82,34,32,34.3333333333,32.0,10.6303030303,-2.331,-5.17366184375,0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1551390421.91,34,32,34.3333333333,32.0,10.5878787879,-2.16449491882,-4.7513258407,0.166505081177,0,0,0,0,0,0,0,0,0,0,0,0
1551390422.0,34,32,34.3333333333,32.0,10.5878787879,-2.16449491882,-4.54015783917,0.0,0,0,0,0,0,0,0,0,0,0,0,0
L: 0 R: 0 T: 1551390422.08
1551390422.5,34,32,34.0,32.3333333333,10.596969697,-1.8315,-4.10157891959,0.332994918823,0,0,0,0,0,0,0,0,0,0,0,0
1551390422.64,33,33,33.0,33.3333333333,10.3545454545,-0.665994918823,-2.71678437862,1.16550508118,0,0,0,0,0,0,0,0,0,0,0,0
1551390422.73,33,33,33.3333333333,33.0,10.2484848485,-0.333,-1.69139218931,0.332994918823,0,0,0,0,0,0,0,0,0,0,0,0
1551390422.82,33,33,33.3333333333,33.0,10.2333333333,-0.499494918823,-1.34519101348,-0.166494918823,0,0,0,0,0,0,0,0,0,0,0,0
1551390422.91,33,32,33.6666666667,32.6666666667,10.3090909091,-0.832494918823,-1.50509042556,-0.333,0,0,0,0,0,0,0,0,0,0,0,0
1551390423.0,34,32,34.0,32.3333333333,10.3454545455,-1.16549491882,-1.9180401316,-0.333,0,0,0,0,0,0,0,0,0,0,0,0
1551390423.1,33,32,33.6666666667,32.6666666667,10.4060606061,-1.16549491882,-2.12451498463,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1551390423.19,33,32,33.6666666667,32.6666666667,10.4757575758,-0.998994918823,-2.06125241114,0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1551390423.29,34,32,34.0,32.3333333333,10.6060606061,-1.332,-2.36262620557,-0.333005081177,0,0,0,0,0,0,0,0,0,0,0,0
