# Lost at ~50s
connected to 192.168.1.17
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1551389789.91,42,24,42.0,24.3333333333,10.9424242424,-17.316,-34.632,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1551389789.91,42,24,42.0,24.3333333333,10.9606060606,-17.316,-34.632,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1551389789.96,42,24,42.0,24.3333333333,10.9484848485,-17.316,-34.632,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1551389790.05,41,24,41.6666666667,24.6666666667,10.8151515152,-16.8165,-34.1325,0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1551389790.14,39,27,39.0,27.3333333333,10.4757575758,-13.6529949188,-30.7192449188,3.16350508118,0,0,0,0,0,0,0,0,0,0,0,0
1551389790.24,33,32,33.6666666667,32.6666666667,10.0575757576,-6.16049491882,-21.5201173782,7.4925,0,0,0,0,0,0,0,0,0,0,0,0
1551389790.33,29,37,29.3333333333,37.0,10.0575757576,1.998,-8.76205868912,8.15849491882,0,0,0,0,0,0,0,0,0,0,0,0
1551389790.42,26,40,26.0,40.3333333333,10.403030303,9.324,4.94297065544,7.326,0,0,0,0,0,0,0,0,0,0,0,0
1551389790.57,24,41,24.6666666667,41.6666666667,11.1363636364,13.9860050812,16.4574904089,4.66200508118,0,0,0,0,0,0,0,0,0,0,0,0
1551389790.66,28,38,28.3333333333,38.0,11.4606060606,11.1555,19.3842452044,-2.83050508118,0,0,0,0,0,0,0,0,0,0,0,0
1551389790.74,31,35,31.0,35.3333333333,11.8303030303,7.1595,16.8516226022,-3.996,0,0,0,0,0,0,0,0,0,0,0,0
1551389790.83,33,33,33.3333333333,33.0,12.2878787879,2.4975,10.9233113011,-4.662,0,0,0,0,0,0,0,0,0,0,0,0
1551389790.92,37,29,37.3333333333,29.0,12.2757575758,-4.1625,1.29915565056,-6.66,0,0,0,0,0,0,0,0,0,0,0,0
1551389791.02,40,26,40.0,26.3333333333,12.3878787879,-9.99,-9.34042217472,-5.8275,0,0,0,0,0,0,0,0,0,0,0,0
1551389791.11,42,24,42.0,24.3333333333,12.3272727273,-14.4855,-19.1557110874,-4.4955,0,0,0,0,0,0,0,0,0,0,0,0
1551389791.2,43,23,43.0,23.3333333333,12.296969697,-17.649,-27.2268555437,-3.1635,0,0,0,0,0,0,0,0,0,0,0,0
1551389791.3,43,22,43.3333333333,23.0,12.0515151515,-19.1475,-32.7609277718,-1.4985,0,0,0,0,0,0,0,0,0,0,0,0
1551389791.39,43,22,43.6666666667,22.6666666667,11.8454545455,-20.1465,-36.5269638859,-0.999,0,0,0,0,0,0,0,0,0,0,0,0
