connected to 192.168.1.17
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1551403436.88,42,24,0,0,0,0,0,0,0,0,0,0,0,0,42.0,24.3333333333,17.4615384615,-21.326158168,-41.7921005531,-8.78097991279
1551403436.89,42,24,0,0,0,0,0,0,0,0,0,0,0,0,42.0,24.3333333333,17.9358974359,-21.6126608142,-42.5087110908,-8.75323914827
1551403436.89,42,24,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,24.3333333333,17.9358974359,-21.6126608142,-42.5087110908,-8.75323914827
1551403436.9,41,25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,41.3333333333,25.0,17.9615384615,-19.7508670064,-41.0052225518,-8.19261146238
1551403436.9,41,24,0,0,0,0,0,0,42.3333333333,24.0,16.3205128205,-21.9120309279,-44.004212045,-9.90983387317,41.3333333333,25.0,17.9615384615,-19.7508670064,-41.0052225518,-8.19261146238
1551403436.91,41,24,0,0,0,0,0,0,42.3333333333,24.0,16.3205128205,-21.9120309279,-44.004212045,-9.90983387317,41.3333333333,25.0,17.3076923077,-19.4639011257,-39.9665124016,-8.34041852516
1551403436.91,41,24,0,0,0,0,0,0,42.3333333333,24.0,16.5641025641,-22.0502520881,-44.0523581106,-9.90983387317,41.3333333333,25.0,17.3076923077,-19.4639011257,-39.9665124016,-8.34041852516
1551403436.92,42,24,0,0,0,0,0,0,42.3333333333,24.0,16.5641025641,-22.0502520881,-44.0523581106,-9.90983387317,42.0,24.3333333333,17.0897435897,-21.0995019065,-41.0827581073,-8.78097991279
1551403436.92,42,24,0,0,0,0,0,0,42.3333333333,24.0,16.3461538462,-21.9120309279,-43.9382099832,-9.90983387317,42.0,24.3333333333,17.0897435897,-21.0995019065,-41.0827581073,-8.78097991279
1551403436.93,42,24,0,0,0,0,0,0,42.3333333333,24.0,16.3461538462,-21.9120309279,-43.9382099832,-9.90983387317,42.0,24.3333333333,16.8717948718,-21.2835295304,-41.8249085841,-8.75323914827
1551403436.93,42,24,0,0,0,0,0,0,42.3333333333,24.0,16.3461538462,-21.9120309279,-43.8811359194,-9.90983387317,42.0,24.3333333333,16.8717948718,-21.2835295304,-41.8249085841,-8.75323914827
1551403436.95,41,24,0,0,0,0,0,0,42.3333333333,24.0,16.3461538462,-21.9120309279,-43.8811359194,-9.90983387317,41.3333333333,25.0,17.358974359,-19.3817789104,-40.2942332024,-8.31820655515
1551403436.95,41,24,0,0,0,0,0,0,42.3333333333,24.0,16.4871794872,-22.0502520881,-43.9908200478,-9.90983387317,41.3333333333,25.0,17.358974359,-19.3817789104,-40.2942332024,-8.31820655515
