connected to 192.168.1.17
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1551409667.0,41,25,0,0,0,0,0,0,0,0,0,0,0,0,41.0,25.3333333333,16.641025641,-19.0247595236,-37.7549673242,-7.26126424198
1551409667.01,41,25,0,0,0,0,0,0,0,0,0,0,0,0,41.0,25.3333333333,16.6282051282,-19.1820913139,-38.059574976,-7.063483886
1551409667.01,41,25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,41.0,25.3333333333,16.6282051282,-19.1820913139,-38.059574976,-7.063483886
1551409667.02,41,25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,41.3333333333,25.0,17.1282051282,-19.7362019223,-38.7659894103,-7.85120599274
1551409667.02,41,24,42.6666666667,23.6666666667,11.2060606061,-18.4814949188,-36.9629898376,0.0,0,0,0,0,0,0,41.3333333333,25.0,17.1282051282,-19.7362019223,-38.7659894103,-7.85120599274
1551409667.03,41,24,42.6666666667,23.6666666667,11.2060606061,-18.4814949188,-36.9629898376,0.0,0,0,0,0,0,0,41.0,25.3333333333,16.8076923077,-19.170521084,-38.5535157891,-7.05191365605
1551409667.03,41,24,42.6666666667,23.6666666667,11.2060606061,-18.4814949188,-36.9629898376,0.0,0,0,0,0,0,0,41.0,25.3333333333,16.8717948718,-19.0956611161,-38.3724190106,-7.15477315312
1551409667.05,41,24,42.6666666667,23.6666666667,11.2060606061,-18.4814949188,-36.9629898376,0.0,0,0,0,0,0,0,41.0,25.3333333333,16.8333333333,-19.0363297536,-38.2225392589,-7.27283447194
1551409667.06,41,24,42.6666666667,23.6666666667,11.2060606061,-18.4814949188,-36.9629898376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,25.3333333333,16.8333333333,-19.0363297536,-38.2225392589,-7.27283447194
1551409667.09,41,24,42.6666666667,23.6666666667,11.2060606061,-18.4814949188,-36.9629898376,0.0,41.0,25.3333333333,16.4102564103,-18.8841484629,-37.7213493085,-7.96027084345,41.0,25.3333333333,16.8333333333,-19.0363297536,-38.2225392589,-7.27283447194
1551409667.1,41,24,42.6666666667,23.6666666667,11.2060606061,-18.4814949188,-36.9629898376,0.0,41.0,25.3333333333,16.4102564103,-18.8841484629,-37.7213493085,-7.96027084345,41.0,25.3333333333,17.0256410256,-19.1258455872,-38.2371152167,-7.05191365605
1551409667.13,41,24,42.6666666667,23.6666666667,11.2060606061,-18.4814949188,-36.9629898376,0.0,41.0,25.3333333333,16.4102564103,-18.8841484629,-37.7213493085,-7.96027084345,41.3333333333,25.0,16.9743589744,-19.6224000181,-38.7409576265,-7.85120599274
1551409667.48,41,25,0.0,0.0,0.0,0.0,0.0,0.0,41.0,25.3333333333,16.4102564103,-18.8841484629,-37.7213493085,-7.96027084345,41.3333333333,25.0,16.9743589744,-19.6224000181,-38.7409576265,-7.85120599274
1551409667.5,41,24,42.6666666667,23.6666666667,11.2060606061,-18.4814949188,-36.9629898376,0.0,41.0,25.3333333333,16.4102564103,-18.8841484629,-37.7213493085,-7.96027084345,41.3333333333,25.0,16.9743589744,-19.6224000181,-38.7409576265,-7.85120599274
1551409667.5,41,24,42.6666666667,23.6666666667,11.2060606061,-18.4814949188,-36.9629898376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3333333333,25.0,16.9743589744,-19.6224000181,-38.7409576265,-7.85120599274
1551409667.54,41,24,42.6666666667,23.6666666667,11.2060606061,-18.4814949188,-36.9629898376,0.0,41.0,25.3333333333,16.1025641026,-18.5622783013,-37.4229529556,-7.97761743073,41.3333333333,25.0,16.9743589744,-19.6224000181,-38.7409576265,-7.85120599274
1551409667.55,41,24,42.6666666667,23.6666666667,11.2060606061,-18.4814949188,-36.9629898376,0.0,41.0,25.3333333333,16.1025641026,-18.5622783013,-37.4229529556,-7.97761743073,0.0,0.0,0.0,0.0,0.0,0.0
