connected to 192.168.1.17
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1551400978.97,48,17,48.6666666667,17.6666666667,11.0757575758,-30.4695,-60.9390000795,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1551400978.97,48,17,48.6666666667,17.6666666667,11.0939393939,-30.4695,-60.9390000397,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1551400978.98,48,17,48.6666666667,17.6666666667,11.0818181818,-30.4695,-60.9390000199,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1551400979.04,48,17,48.6666666667,17.6666666667,11.1,-30.4695,-60.9390000099,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1551400979.13,47,19,47.3333333333,19.0,10.8878787879,-29.1375,-59.607000005,1.332,0,0,0,0,0,0,0,0,0,0,0,0
1551400979.23,41,25,41.3333333333,25.0,10.5181818182,-21.312,-51.1155000025,7.8255,0,0,0,0,0,0,0,0,0,0,0,0
1551400979.32,35,31,35.0,31.3333333333,10.2303030303,-10.656,-36.2137500012,10.656,0,0,0,0,0,0,0,0,0,0,0,0
1551400979.41,29,36,29.6666666667,36.6666666667,10.4272727273,0.1665,-17.9403750006,10.8225,0,0,0,0,0,0,0,0,0,0,0,0
1551400979.51,26,40,26.3333333333,40.0,10.7484848485,8.325,-0.64518750031,8.1585,0,0,0,0,0,0,0,0,0,0,0,0
1551400979.6,25,40,25.6666666667,40.6666666667,11.4787878788,12.3210050812,11.998411331,3.99600508118,0,0,0,0,0,0,0,0,0,0,0,0
1551400979.7,28,38,28.3333333333,38.0,11.6151515152,10.8225,16.8217056655,-1.49850508118,0,0,0,0,0,0,0,0,0,0,0,0
1551400979.79,31,35,31.3333333333,35.0,12.0424242424,6.327,14.7378528328,-4.4955,0,0,0,0,0,0,0,0,0,0,0,0
1551400980.26,0,0,0,0,0
1551400980.28,37,29,37.3333333333,29.0,12.1242424242,-2.331,5.03792641638,-8.658,0,0,0,0,0,0,0,0,0,0,0,0
1551400980.42,65,0,65.6666666667,0.666666666667,12.5848484848,-39.627,-37.1080367918,-37.296,0,0,0,0,0,0,0,0,0,0,0,0
1551400980.51,55,10,55.6666666667,10.6666666667,10.1242424242,-42.7905,-61.3445183959,-3.1635,0,0,0,0,0,0,0,0,0,0,0,0
1551400980.6,52,14,52.3333333333,14.0,12.4787878788,-39.96,-70.632259198,2.8305,0,0,0,0,0,0,0,0,0,0,0,0
1551400980.69,49,17,49.0,17.3333333333,13.6939393939,-34.632,-69.948129599,5.328,0,0,0,0,0,0,0,0,0,0,0,0
1551400980.79,44,22,44.3333333333,22.0,12.7757575758,-26.8065,-61.7805647995,7.8255,0,0,0,0,0,0,0,0,0,0,0,0
1551400980.88,41,24,42.0,24.3333333333,12.4878787879,-20.979,-51.8692823997,5.8275,0,0,0,0,0,0,0,0,0,0,0,0
1551400980.98,42,23,42.6666666667,23.6666666667,12.203030303,-19.647,-45.5816411999,1.332,0,0,0,0,0,0,0,0,0,0,0,0
1551400981.07,40,25,40.6666666667,25.6666666667,12.1878787879,-16.65,-39.4408205999,2.997,0,0,0,0,0,0,0,0,0,0,0,0
1551400981.16,41,25,41.3333333333,25.0,11.9818181818,-16.4835,-36.2039103,0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1551400981.26,41,24,41.6666666667,24.6666666667,11.7939393939,-16.8164898376,-34.9184449876,-0.332989837646,0,0,0,0,0,0,0,0,0,0,0,0
1551400981.35,41,25,41.0,25.3333333333,11.4636363636,-16.1505,-33.6097224938,0.665989837646,0,0,0,0,0,0,0,0,0,0,0,0
1551400981.44,41,24,41.6666666667,24.6666666667,11.3272727273,-16.4834898376,-33.2883510846,-0.332989837646,0,0,0,0,0,0,0,0,0,0,0,0
1551400981.54,40,25,40.6666666667,25.6666666667,11.1636363636,-15.4845,-32.1286755423,0.998989837646,0,0,0,0,0,0,0,0,0,0,0,0
1551400981.63,39,26,39.6666666667,26.6666666667,10.8606060606,-13.986,-30.0503377711,1.4985,0,0,0,0,0,0,0,0,0,0,0,0
1551400981.72,39,26,39.6666666667,26.6666666667,10.8333333333,-13.1534949188,-28.1786638044,0.832505081177,0,0,0,0,0,0,0,0,0,0,0,0
1551400981.87,37,29,37.3333333333,29.0,10.4060606061,-10.1565,-24.2458319022,2.99699491882,0,0,0,0,0,0,0,0,0,0,0,0
1551400981.96,33,33,33.0,33.3333333333,10.3272727273,-3.996,-16.1189159511,6.1605,0,0,0,0,0,0,0,0,0,0,0,0
1551400982.05,31,35,31.3333333333,35.0,10.9636363636,0.666,-7.39345797555,4.662,0,0,0,0,0,0,0,0,0,0,0,0
1551400982.14,30,35,30.6666666667,35.6666666667,9.9,3.1635,-0.533228987775,2.4975,0,0,0,0,0,0,0,0,0,0,0,0
1551400982.22,31,35,31.3333333333,35.0,11.2151515152,3.4965,3.22988550611,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1551400982.32,30,36,30.3333333333,36.0,11.0242424242,4.8285,6.44344275306,1.332,0,0,0,0,0,0,0,0,0,0,0,0
1551400982.41,29,37,29.3333333333,37.0,11.2363636364,6.4935,9.71522137653,1.665,0,0,0,0,0,0,0,0,0,0,0,0
1551400982.51,28,38,28.3333333333,38.0,11.1060606061,8.4915,13.3491106883,1.998,0,0,0,0,0,0,0,0,0,0,0,0
1551400982.6,28,38,28.3333333333,38.0,8.4515151515,9.324,15.9985553441,0.8325,0,0,0,0,0,0,0,0,0,0,0,0
1551400982.69,29,36,29.6666666667,36.6666666667,10.6515151515,7.8255,15.8247776721,-1.4985,0,0,0,0,0,0,0,0,0,0,0,0
1551400982.79,29,37,29.3333333333,37.0,10.6818181818,7.4925,15.404888836,-0.333,0,0,0,0,0,0,0,0,0,0,0,0
1551400982.88,29,37,29.0,37.3333333333,11.4151515152,7.8255,15.527944418,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1551400982.97,27,38,27.6666666667,38.6666666667,11.7454545455,9.657,17.420972209,1.8315,0,0,0,0,0,0,0,0,0,0,0,0
1551400983.07,27,39,27.3333333333,39.0,12.4151515152,10.8225,19.5329861045,1.1655,0,0,0,0,0,0,0,0,0,0,0,0
1551400983.16,24,41,24.6666666667,41.6666666667,12.3909090909,14.319,24.0854930523,3.4965,0,0,0,0,0,0,0,0,0,0,0,0
1551400983.26,23,43,23.0,43.3333333333,12.1272727273,17.982,30.0247465261,3.663,0,0,0,0,0,0,0,0,0,0,0,0
1551400983.35,21,44,21.6666666667,44.6666666667,12.0909090909,20.8125,35.8248732631,2.8305,0,0,0,0,0,0,0,0,0,0,0,0
1551400983.44,21,44,21.6666666667,44.6666666667,12.1606060606,22.1445,40.0569366315,1.332,0,0,0,0,0,0,0,0,0,0,0,0
1551400983.54,20,46,20.0,46.3333333333,13.1272727273,24.642,44.6704683158,2.4975,0,0,0,0,0,0,0,0,0,0,0,0
1551400983.63,20,46,20.0,46.3333333333,12.0636363636,25.6410050812,47.9762392391,0.999005081177,0,0,0,0,0,0,0,0,0,0,0,0
1551400984.1,0,0,0,0,0
1551400984.12,21,45,21.3333333333,45.0,13.796969697,24.309,48.2971196195,-1.33200508118,0,0,0,0,0,0,0,0,0,0,0,0
1551400984.27,20,45,20.6666666667,45.6666666667,9.02727272727,24.642,48.7905598098,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1551400984.35,21,45,21.3333333333,45.0,10.4878787879,23.8574104156,48.2526903205,-0.784589584351,0,0,0,0,0,0,0,0,0,0,0,0
1551400984.44,22,44,22.3333333333,44.0,10.5272727273,22.2555135498,46.3818587101,-1.60189686584,0,0,0,0,0,0,0,0,0,0,0,0
