connected to 192.168.1.17
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1552863406.87,42,24,42.3333333333,24.0,10.9575757576,-18.315,-36.63,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1552863406.87,41,24,42.3333333333,24.0,10.9575757576,-18.315,-36.63,0.0,41.0,25.3333333333,18.3333333333,-19.6804807451,-39.3677188191,-6.93480787414,0,0,0,0,0,0
1552863406.88,41,24,42.3333333333,24.0,10.9575757576,-18.315,-36.63,0.0,41.0,25.3333333333,18.3333333333,-19.6804807451,-39.3677188191,-6.93480787414,0.0,0.0,0.0,0.0,0.0,0.0
1552863406.88,41,24,42.3333333333,24.0,10.9515151515,-18.315,-36.63,0.0,41.0,25.3333333333,18.3333333333,-19.6804807451,-39.3677188191,-6.93480787414,0.0,0.0,0.0,0.0,0.0,0.0
1552863406.89,41,24,42.3333333333,24.0,10.9515151515,-18.315,-36.63,0.0,41.0,25.3333333333,18.3333333333,-19.6804807451,-39.3677188191,-6.93480787414,42.0,24.3333333333,16.3333333333,-21.7975258403,-43.3800776215,-7.16634338307
1552863406.89,41,24,42.3333333333,24.0,10.9515151515,-18.315,-36.63,0.0,41.0,25.3333333333,18.3333333333,-19.6804807451,-39.3677188191,-6.93480787414,42.0,24.3333333333,16.2820512821,-21.8190695503,-43.509108361,-7.22979705739
1552863406.9,41,24,42.3333333333,24.0,10.9515151515,-18.315,-36.63,0.0,41.0,25.3333333333,18.358974359,-19.635808312,-39.3196677215,-6.99324903625,42.0,24.3333333333,16.2820512821,-21.8190695503,-43.509108361,-7.22979705739
1552863406.9,41,24,42.3333333333,24.0,10.9515151515,-18.315,-36.63,0.0,41.0,25.3333333333,18.358974359,-19.635808312,-39.3196677215,-6.99324903625,42.0,24.3333333333,16.2820512821,-21.8190695503,-43.509108361,-7.22979705739
1552863406.91,41,24,42.3333333333,24.0,10.9515151515,-18.315,-36.63,0.0,41.0,25.3333333333,18.358974359,-19.635808312,-39.3196677215,-6.99324903625,42.0,24.3333333333,16.3333333333,-21.6234874901,-43.3780416706,-7.49752014088
1552863406.91,41,24,42.3333333333,24.0,10.9515151515,-18.315,-36.63,0.0,41.0,25.3333333333,18.4487179487,-19.6824650842,-39.3422989449,-6.87819776672,42.0,24.3333333333,16.3333333333,-21.6234874901,-43.3780416706,-7.49752014088
1552863406.92,41,24,42.3333333333,24.0,10.9515151515,-18.315,-36.63,0.0,41.0,25.3333333333,18.4487179487,-19.6824650842,-39.3422989449,-6.87819776672,41.6666666667,24.6666666667,15.8333333333,-21.3325094683,-43.0215303036,-7.50932640066
