connected to 192.168.1.17
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1552866145.9,55,11,55.3333333333,11.0,11.5696969697,-43.7895,-87.5790000397,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1552866145.91,47,19,55.3333333333,11.0,11.5696969697,-43.7895,-87.5790000397,0.0,47.0,19.3333333333,14.6666666667,-35.3580667062,-71.7402797336,-10.2861689,0,0,0,0,0,0
1552866145.91,47,18,55.3333333333,11.0,11.5696969697,-43.7895,-87.5790000397,0.0,47.0,19.3333333333,14.6666666667,-35.3580667062,-71.7402797336,-10.2861689,47.6666666667,18.6666666667,15.4487179487,-35.8867099281,-71.8017610268,-12.0338120512
1552866145.92,47,18,55.3333333333,11.0,11.5696969697,-43.7895,-87.5790000397,0.0,47.6666666667,18.6666666667,16.4615384615,-36.5216945914,-72.3918344582,-10.8694742589,47.6666666667,18.6666666667,15.4487179487,-35.8867099281,-71.8017610268,-12.0338120512
1552866145.92,47,18,55.3333333333,11.0,11.5696969697,-43.7895,-87.5790000397,0.0,47.6666666667,18.6666666667,16.4615384615,-36.5216945914,-72.3918344582,-10.8694742589,47.6666666667,18.6666666667,15.6794871795,-36.0449106795,-71.9457911929,-12.1745896391
1552866145.93,47,18,55.3333333333,11.0,11.5696969697,-43.7895,-87.5790000397,0.0,47.6666666667,18.6666666667,15.8076923077,-36.2900342806,-72.4859515096,-10.6103342443,47.6666666667,18.6666666667,15.6794871795,-36.0449106795,-71.9457911929,-12.1745896391
1552866145.93,47,18,55.3333333333,11.0,11.5696969697,-43.7895,-87.5790000397,0.0,47.6666666667,18.6666666667,15.8076923077,-36.2900342806,-72.4859515096,-10.6103342443,47.6666666667,18.6666666667,15.6666666667,-36.0179148432,-71.9908104396,-12.0338120512
1552866145.94,47,18,55.3333333333,11.0,11.5696969697,-43.7895,-87.5790000397,0.0,47.6666666667,18.6666666667,15.9743589744,-36.3569330759,-72.5999088307,-11.4734857946,47.6666666667,18.6666666667,15.6666666667,-36.0179148432,-71.9908104396,-12.0338120512
1552866145.94,47,18,55.3333333333,11.0,11.5696969697,-43.7895,-87.5790000397,0.0,47.6666666667,18.6666666667,15.9743589744,-36.3569330759,-72.5999088307,-11.4734857946,47.6666666667,18.6666666667,15.858974359,-36.09199668,-72.0874018998,-12.0338120512
1552866145.95,47,18,55.3333333333,11.0,11.5696969697,-43.7895,-87.5790000397,0.0,47.3333333333,19.0,14.6923076923,-35.4384103804,-71.7383647958,-11.3766916662,47.6666666667,18.6666666667,15.858974359,-36.09199668,-72.0874018998,-12.0338120512
1552866145.95,47,18,55.3333333333,11.0,11.5696969697,-43.7895,-87.5790000397,0.0,47.3333333333,19.0,14.6923076923,-35.4384103804,-71.7383647958,-11.3766916662,47.6666666667,18.6666666667,15.5897435897,-36.0179148432,-72.0616157931,-12.0338120512
1552866145.96,48,18,55.3333333333,11.0,11.5696969697,-43.7895,-87.5790000397,0.0,48.0,18.3333333333,16.4102564103,-36.8622182976,-72.7314006955,-11.3766916662,47.6666666667,18.6666666667,15.5897435897,-36.0179148432,-72.0616157931,-12.0338120512
1552866145.96,48,18,55.3333333333,11.0,11.5696969697,-43.7895,-87.5790000397,0.0,48.0,18.3333333333,16.4102564103,-36.8622182976,-72.7314006955,-11.3766916662,47.6666666667,18.6666666667,15.8974358974,-36.0449106795,-72.075718576,-12.1745896391
1552866145.98,47,18,55.3333333333,11.0,11.5696969697,-43.7895,-87.5790000397,0.0,47.3333333333,19.0,15.6538461538,-36.0370162982,-72.402716646,-10.8694742589,47.6666666667,18.6666666667,15.8974358974,-36.0449106795,-72.075718576,-12.1745896391
1552866145.99,47,19,55.3333333333,11.0,11.5696969697,-43.7895,-87.5790000397,0.0,47.3333333333,19.0,15.6538461538,-36.0370162982,-72.402716646,-10.8694742589,47.6666666667,18.6666666667,15.4102564103,-35.6789707885,-71.7168300765,-12.074943257
1552866146.01,47,19,55.3333333333,11.0,11.5696969697,-43.7895,-87.5790000397,0.0,47.0,19.3333333333,16.3717948718,-35.3316228889,-71.5329812119,-9.82726108073,47.6666666667,18.6666666667,15.4102564103,-35.6789707885,-71.7168300765,-12.074943257
1552866146.03,47,19,55.3333333333,11.0,11.5696969697,-43.7895,-87.5790000397,0.0,47.0,19.3333333333,16.3717948718,-35.3316228889,-71.5329812119,-9.82726108073,47.6666666667,18.6666666667,15.9358974359,-35.8564087568,-71.7148237951,-11.5983333239
1552866146.04,47,18,55.3333333333,11.0,11.5696969697,-43.7895,-87.5790000397,0.0,47.0,19.3333333333,15.1025641026,-34.8562915699,-70.6227821758,-11.1249101646,47.6666666667,18.6666666667,15.9358974359,-35.8564087568,-71.7148237951,-11.5983333239
