Active on port: 4000
init camera on /dev/video0
green
[54, 129, 95]
red
[7, 253, 142]
('P, I, D, (E), (T) --->', -8.364172930469692, -8.364172930469692, 20.004120677081914, 93.1923076923077, 1551057573.714036)
('P, I, D, (E), (T) --->', -8.577002842106026, -12.759089307340872, 19.636132090656133, 94.07692307692308, 1551057573.754072)
('P, I, D, (E), (T) --->', -8.32099705895564, -14.700541712626077, 19.636132090656133, 93.5, 1551057573.78946)
('P, I, D, (E), (T) --->', -8.577002842106026, -15.927273698419064, 19.636132090656133, 94.15384615384616, 1551057573.821449)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.396197654762485, 20.065773814288946, 93.11538461538461, 1551057573.853102)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.630659632934197, 20.065773814288946, 93.03846153846153, 1551057573.884602)
('P, I, D, (E), (T) --->', -8.265245548498797, -16.580575364965895, 19.636132090656133, 93.57692307692308, 1551057573.915768)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.61128474143859, 19.636132090656133, 93.73076923076923, 1551057573.947391)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.738203176272247, 20.065773814288946, 93.42307692307692, 1551057573.978325)
('P, I, D, (E), (T) --->', -8.364172930469692, -16.733274518605818, 20.004120677081914, 93.26923076923077, 1551057574.005852)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.68763431825855, 19.636132090656133, 93.57692307692308, 1551057574.03334)
('P, I, D, (E), (T) --->', -8.577002842106026, -16.9208200012353, 19.636132090656133, 94.23076923076923, 1551057574.060376)
('P, I, D, (E), (T) --->', -8.69314274034366, -17.15355274096131, 20.065773814288946, 93.42307692307692, 1551057574.088164)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.897773429436295, 19.636132090656133, 93.26923076923077, 1551057574.115988)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.76988377367379, 19.636132090656133, 93.5, 1551057574.146526)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.705938945792536, 19.636132090656133, 93.88461538461539, 1551057574.178137)
('P, I, D, (E), (T) --->', -8.432560805552953, -16.785530278449222, 20.065773814288946, 93.26923076923077, 1551057574.210557)
('P, I, D, (E), (T) --->', -8.32099705895564, -16.71376219818025, 19.636132090656133, 93.8076923076923, 1551057574.246585)
('P, I, D, (E), (T) --->', -8.416595619907923, -16.773476718998047, 20.004120677081914, 93.1923076923077, 1551057574.278491)
