Active on port: 4000
black
[90, 5, 47]
('P, I, D, (E), (T) --->', -10.542395050048828, -10.542395050048828, -10.542395050048828, 59.07272727272727, 1551026264.761785)
('P, I, D, (E), (T) --->', -10.434978973388672, -15.706176498413086, 0.10741607666015618, 59.28181818181818, 1551026264.89004)
('P, I, D, (E), (T) --->', -4.7329637145996095, -12.586051963806153, 5.7020152587890625, 55.3, 1551026265.026298)
('P, I, D, (E), (T) --->', 8.138520812988281, 1.8454948310852046, 12.87148452758789, 59.054545454545455, 1551026265.242454)
('P, I, D, (E), (T) --->', 15.812690666198732, 16.735438081741336, 7.674169853210451, 65.37272727272727, 1551026265.555055)
('P, I, D, (E), (T) --->', 18.161309646606448, 26.529028687477116, 2.348618980407716, 63.6, 1551026265.736416)
('P, I, D, (E), (T) --->', 17.764271575927737, 31.028785919666294, -0.3970380706787111, 63.45454545454545, 1551026265.856965)
('P, I, D, (E), (T) --->', 17.2775786819458, 32.79197164177895, -0.48669289398193527, 63.58181818181818, 1551026265.976088)
('P, I, D, (E), (T) --->', 14.456298477172853, 30.85228429806233, -2.8212802047729486, 66.4090909090909, 1551026266.24654)
('P, I, D, (E), (T) --->', 14.109350646972658, 29.535492796003822, -0.34694783020019493, 66.84545454545454, 1551026266.380499)
('P, I, D, (E), (T) --->', 15.642646545410157, 30.41039294341207, 1.5332958984374994, 67.81818181818181, 1551026266.556431)
('P, I, D, (E), (T) --->', 18.734054809570313, 33.93925128127635, 3.0914082641601563, 68.61818181818182, 1551026266.734854)
('P, I, D, (E), (T) --->', 19.90780155944824, 36.877427200086416, 1.1737467498779282, 69.01818181818182, 1551026266.854488)
('P, I, D, (E), (T) --->', 20.36545806884766, 38.804171668890866, 0.45765650939941693, 69.26363636363637, 1551026266.975483)
('P, I, D, (E), (T) --->', 19.86950727081299, 39.27159310525842, -0.49595079803467, 69.10909090909091, 1551026267.099087)
('P, I, D, (E), (T) --->', 18.590613189697265, 38.226409742326474, -1.2788940811157232, 68.9090909090909, 1551026267.223672)
('P, I, D, (E), (T) --->', 17.918556427001953, 37.03176129816519, -0.6720567626953127, 69.05454545454545, 1551026267.399729)
('P, I, D, (E), (T) --->', 18.89285174560547, 37.408732394688066, 0.9742953186035166, 68.67272727272727, 1551026267.57832)
('P, I, D, (E), (T) --->', 15.381804336547852, 34.08617053389189, -3.5110474090576176, 68.36363636363636, 1551026267.698594)
('P, I, D, (E), (T) --->', 14.283223434448242, 31.326308701394186, -1.0985809020996093, 68.36363636363636, 1551026267.819846)
('P, I, D, (E), (T) --->', 14.43957886505127, 30.102733215748366, 0.15635543060302837, 68.24545454545455, 1551026267.943096)
('P, I, D, (E), (T) --->', 14.233499038696289, 29.284865646570474, -0.20607982635498168, 68.8, 1551026268.182331)
('P, I, D, (E), (T) --->', 18.15995043182373, 32.802383255108964, 3.926451393127442, 68.99090909090908, 1551026268.440361)
('P, I, D, (E), (T) --->', 16.650000000000002, 33.05119162755449, -1.5099504318237287, 66.95454545454545, 1551026268.620433)
('P, I, D, (E), (T) --->', 16.317, 32.842595813777244, -0.33300000000000196, 64.7090909090909, 1551026268.806925)
('P, I, D, (E), (T) --->', 14.314559051513672, 30.735856958402294, -2.0024409484863277, 63.7, 1551026268.995281)
('P, I, D, (E), (T) --->', 7.565658782958985, 22.93358726216013, -6.748900268554688, 63.85454545454545, 1551026269.168758)
('P, I, D, (E), (T) --->', 0.7353580627441406, 12.202151693824206, -6.8303007202148445, 64.47272727272727, 1551026269.290392)
('P, I, D, (E), (T) --->', -4.418357574462891, 1.682718272449212, -5.153715637207031, 66.55454545454545, 1551026269.427054)
('P, I, D, (E), (T) --->', -7.764790100097657, -6.9234309638730505, -3.346432525634766, 68.43636363636364, 1551026269.556702)
('P, I, D, (E), (T) --->', -11.386591918945314, -14.84830740088184, -3.621801818847657, 69.86363636363636, 1551026269.733893)
('P, I, D, (E), (T) --->', -14.575147201538087, -21.999300901979005, -3.188555282592773, 68.33636363636364, 1551026269.853992)
('P, I, D, (E), (T) --->', -16.20926889038086, -27.20891934137036, -1.6341216888427716, 65.5909090909091, 1551026269.973826)
