Active on port: 4000
init camera on /dev/video0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
P, I, D, (E) ---> 0 0 0 0
