Active on port: 4001
init camera on /dev/video1
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.0997937
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.1327157
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.159513
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.1882203
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.2222245
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.2561772
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.2864954
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.3215177
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.3526607
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.3863657
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.4212499
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.452894
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.4880435
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.523845
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.5557706
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.5868826
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.6241686
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.6530206
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.684932
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.72174
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.7552404
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.784969
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.8217351
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.8539698
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.8859525
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.920783
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.9571896
P, I, D, (E), (T) ---> 0 0 0 0 1546296221.9872231
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.020926
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.054468
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.0863698
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.1208198
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.1602476
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.189588
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.2214859
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.2528052
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.2850842
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.322753
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.3547556
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.3856602
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.422325
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.4525714
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.4871318
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.522169
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.5614126
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.5852895
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.6217744
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.6526847
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.6864688
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.72179
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.7531967
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.7869709
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.8210351
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.8559036
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.8851593
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.9223592
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.953901
P, I, D, (E), (T) ---> 0 0 0 0 1546296222.9848506
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.0216463
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.057281
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.0846848
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.1210444
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.1536503
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.1876545
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.2218897
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.2549098
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.2885962
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.3206353
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.3551087
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.3855698
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.424179
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.452624
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.4872532
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.522627
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.5518224
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.5831525
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.6191754
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.652004
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.6866055
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.720873
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.7513041
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.7842093
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.8228436
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.8524594
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.8852057
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.9259343
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.9537306
P, I, D, (E), (T) ---> 0 0 0 0 1546296223.9836407
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.0212557
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.0537016
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.0880334
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.1183908
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.1533403
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.1887786
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.2222424
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.2613213
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.2857943
P, I, D, (E), (T) ---> 0 0 0 0 1546296224.3206453
