connected to 192.168.1.17
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1551387885.59,43,22,43.6666666667,22.6666666667,11.4515151515,-20.646,-41.2685648839,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1551387885.59,43,22,43.6666666667,22.6666666667,11.4575757576,-20.646,-41.280282442,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1551387885.66,43,22,43.6666666667,22.6666666667,11.4575757576,-20.646,-41.286141221,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1551387885.75,42,24,42.0,24.3333333333,11.1151515152,-18.8145,-39.4575706105,1.8315,0,0,0,0,0,0,0,0,0,0,0,0
1551387885.85,36,30,36.0,30.3333333333,10.4939393939,-10.989,-30.7177853052,7.8255,0,0,0,0,0,0,0,0,0,0,0,0
1551387885.94,30,35,30.6666666667,35.6666666667,10.4909090909,-1.4985,-16.8573926526,9.4905,0,0,0,0,0,0,0,0,0,0,0,0
1551387886.04,26,39,26.6666666667,39.6666666667,10.996969697,7.326,-1.10269632631,8.8245,0,0,0,0,0,0,0,0,0,0,0,0
1551387886.13,27,39,27.0,39.3333333333,11.4757575758,10.323,9.77165183684,2.997,0,0,0,0,0,0,0,0,0,0,0,0
1551387886.22,31,35,31.0,35.3333333333,11.9696969697,6.66,11.5458259184,-3.663,0,0,0,0,0,0,0,0,0,0,0,0
1551387886.32,34,31,34.6666666667,31.6666666667,12.2515151515,0.8325,6.60541295921,-5.8275,0,0,0,0,0,0,0,0,0,0,0,0
1551387886.41,38,27,38.6666666667,27.6666666667,12.3333333333,-6.1605,-2.85779352039,-6.993,0,0,0,0,0,0,0,0,0,0,0,0
1551387886.5,41,25,41.0,25.3333333333,12.1151515152,-11.9879898376,-13.4168865978,-5.82748983765,0,0,0,0,0,0,0,0,0,0,0,0
1551387886.6,43,23,43.0,23.3333333333,12.5242424242,-16.317,-23.0254432989,-4.32901016235,0,0,0,0,0,0,0,0,0,0,0,0
1551387886.69,44,21,44.6666666667,21.6666666667,12.596969697,-20.1465,-31.6592216495,-3.8295,0,0,0,0,0,0,0,0,0,0,0,0
1551387886.78,43,23,43.3333333333,23.0,12.3242424242,-20.313,-36.1426108247,-0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1551387886.88,43,22,44.0,22.3333333333,11.9393939394,-21.1455,-39.2168054124,-0.8325,0,0,0,0,0,0,0,0,0,0,0,0
L: 0 R: 0 T: 1551387886.95
1551387887.07,44,22,44.0,22.3333333333,11.6151515152,-21.1455,-40.7539027062,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1551387887.16,41,25,41.0,25.3333333333,10.6484848485,-17.8155,-38.1924513531,3.33,0,0,0,0,0,0,0,0,0,0,0,0
1551387887.25,40,25,40.6666666667,25.6666666667,10.4727272727,-15.984,-35.0802256765,1.8315,0,0,0,0,0,0,0,0,0,0,0,0
1551387887.35,39,27,39.3333333333,27.0,9.99696969697,-13.8195,-31.3596128383,2.1645,0,0,0,0,0,0,0,0,0,0,0,0
1551387887.44,36,29,36.6666666667,29.6666666667,10.0515151515,-9.657,-25.3368064191,4.1625,0,0,0,0,0,0,0,0,0,0,0,0
1551387887.53,35,31,35.0,31.3333333333,10.1575757576,-5.994,-18.6624032096,3.663,0,0,0,0,0,0,0,0,0,0,0,0
1551387887.63,34,32,34.0,32.3333333333,10.2454545455,-3.16349491882,-12.4946965236,2.83050508118,0,0,0,0,0,0,0,0,0,0,0,0
1551387887.72,32,33,32.6666666667,33.6666666667,10.5272727273,-0.832494918823,-7.07984318063,2.331,0,0,0,0,0,0,0,0,0,0,0,0
1551387887.82,32,34,32.0,34.3333333333,10.6727272727,0.999,-2.54092159031,1.83149491882,0,0,0,0,0,0,0,0,0,0,0,0
1551387887.91,31,35,31.0,35.3333333333,10.7363636364,3.1635,1.89303920484,2.1645,0,0,0,0,0,0,0,0,0,0,0,0
1551387888.0,29,36,29.6666666667,36.6666666667,10.7,5.4945,6.44101960242,2.331,0,0,0,0,0,0,0,0,0,0,0,0
1551387888.1,29,37,29.0,37.3333333333,10.8,7.1595,10.3800098012,1.665,0,0,0,0,0,0,0,0,0,0,0,0
