connected to 192.168.1.17
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1551392608.55,34,31,0,0,0,0,0,0,0,0,0,0,0,0,34.6666666667,31.6666666667,17.1025641026,-4.495987111,-9.00431185477,-0.0282928533224
1551392608.55,35,31,0,0,0,0,0,0,36.0,30.3333333333,16.8846153846,-7.57588510174,-15.1862318358,-0.445733557125,34.6666666667,31.6666666667,17.1025641026,-4.495987111,-9.00431185477,-0.0282928533224
1551392608.56,35,31,0,0,0,0,0,0,36.0,30.3333333333,16.8846153846,-7.57588510174,-15.1862318358,-0.445733557125,34.6666666667,31.6666666667,17.3076923077,-4.64642628941,-9.1485822168,-0.0282928533224
1551392608.57,35,31,0,0,0,0,0,0,36.0,30.3333333333,16.858974359,-7.57825151195,-15.1713674299,-0.381150732418,34.6666666667,31.6666666667,17.3076923077,-4.64642628941,-9.1485822168,-0.0282928533224
1551392608.57,37,29,43.6666666667,22.6666666667,10.6636363636,-20.4795,-40.9527806396,0.0,36.0,30.3333333333,16.858974359,-7.57825151195,-15.1713674299,-0.381150732418,34.6666666667,31.6666666667,17.3076923077,-4.64642628941,-9.1485822168,-0.0282928533224
1551392608.58,37,29,43.6666666667,22.6666666667,10.6636363636,-20.4795,-40.9527806396,0.0,36.0,30.3333333333,16.858974359,-7.57825151195,-15.1713674299,-0.381150732418,34.6666666667,31.6666666667,17.5512820513,-4.72948152569,-9.30377263409,0.0414016657206
1551392608.58,37,29,43.6666666667,22.6666666667,10.6636363636,-20.4795,-40.9527806396,0.0,35.6666666667,30.6666666667,16.3461538462,-7.36547236781,-14.9511560827,-0.445733557125,34.6666666667,31.6666666667,17.5512820513,-4.72948152569,-9.30377263409,0.0414016657206
1551392608.59,37,29,43.6666666667,22.6666666667,10.6636363636,-20.4795,-40.9527806396,0.0,35.6666666667,30.6666666667,16.3461538462,-7.36547236781,-14.9511560827,-0.445733557125,34.6666666667,31.6666666667,17.5769230769,-4.67964009233,-9.33152640937,0.171116631541
1551392608.59,37,29,43.6666666667,22.6666666667,10.6636363636,-20.4795,-40.9527806396,0.0,36.0,30.3333333333,17.1666666667,-7.73757765669,-15.2131556981,-0.410602657197,34.6666666667,31.6666666667,17.5769230769,-4.67964009233,-9.33152640937,0.171116631541
1551392608.6,37,29,43.6666666667,22.6666666667,10.6636363636,-20.4795,-40.9527806396,0.0,36.0,30.3333333333,17.1666666667,-7.73757765669,-15.2131556981,-0.410602657197,34.6666666667,31.6666666667,17.5128205128,-4.63528010631,-9.301043311,-0.101557929006
