connected to 192.168.1.17
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1551403725.19,40,25,0,0,0,0,0,0,40.6666666667,25.6666666667,16.6025641026,-17.8331333258,-35.6128600925,-7.88233392242,0,0,0,0,0,0
1551403725.19,40,26,0,0,0,0,0,0,40.6666666667,25.6666666667,16.6025641026,-17.8331333258,-35.6128600925,-7.88233392242,39.6666666667,26.6666666667,17.141025641,-15.3619987549,-30.5804226722,-7.14365265923
1551403725.2,40,26,0,0,0,0,0,0,40.6666666667,25.6666666667,16.5128205128,-17.7575072376,-35.5639372838,-7.88233392242,39.6666666667,26.6666666667,17.141025641,-15.3619987549,-30.5804226722,-7.14365265923
1551403725.2,39,26,0,0,0,0,0,0,40.6666666667,25.6666666667,16.5128205128,-17.7575072376,-35.5639372838,-7.88233392242,39.3333333333,27.0,17.1923076923,-14.8578157699,-30.148027106,-6.44159698486
1551403725.21,39,26,0,0,0,0,0,0,40.6666666667,25.6666666667,16.7564102564,-17.8331333258,-35.6151019677,-7.88233392242,39.3333333333,27.0,17.1923076923,-14.8578157699,-30.148027106,-6.44159698486
1551403725.21,39,26,0,0,0,0,0,0,40.6666666667,25.6666666667,16.7564102564,-17.8331333258,-35.6151019677,-7.88233392242,39.3333333333,27.0,17.4102564103,-15.1238019803,-30.1978155333,-5.49231719971
1551403725.22,39,26,0,0,0,0,0,0,40.6666666667,25.6666666667,16.7307692308,-17.8014757217,-35.6090267055,-7.78989617828,39.3333333333,27.0,17.4102564103,-15.1238019803,-30.1978155333,-5.49231719971
1551403725.22,39,26,0,0,0,0,0,0,40.6666666667,25.6666666667,16.7307692308,-17.8014757217,-35.6090267055,-7.78989617828,39.3333333333,27.0,17.3333333333,-15.1842999646,-30.2832077313,-5.44033050537
1551403725.23,39,26,0,0,0,0,0,0,40.6666666667,25.6666666667,16.7307692308,-17.8014757217,-35.6090267055,-7.78989617828,39.3333333333,27.0,16.9102564103,-14.9694977638,-30.1111016294,-5.49231719971
1551403725.23,39,26,0,0,0,0,0,0,40.6666666667,25.6666666667,16.5641025641,-17.7187130687,-35.5232264215,-7.97761743073,39.3333333333,27.0,16.9102564103,-14.9694977638,-30.1111016294,-5.49231719971
1551403725.24,39,26,0,0,0,0,0,0,40.6666666667,25.6666666667,16.4358974359,-17.7389267662,-35.500539977,-7.78989617828,39.3333333333,27.0,16.9102564103,-14.9694977638,-30.1111016294,-5.49231719971
1551403725.24,39,26,0,0,0,0,0,0,40.6666666667,25.6666666667,16.4358974359,-17.7389267662,-35.500539977,-7.78989617828,39.3333333333,27.0,17.3076923077,-14.9026303874,-29.9581812021,-6.44159698486
1551403725.26,39,26,0,0,0,0,0,0,40.6666666667,25.6666666667,16.4358974359,-17.7389267662,-35.500539977,-7.78989617828,39.3333333333,27.0,17.2820512821,-14.9026303874,-29.8817209885,-6.44159698486
1551403725.26,39,26,0,0,0,0,0,0,40.6666666667,25.6666666667,16.3076923077,-17.5716186735,-35.3218886619,-7.88233392242,39.3333333333,27.0,17.2820512821,-14.9026303874,-29.8817209885,-6.44159698486
