connected to 192.168.1.17
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1551405408.5,37,28,37.3333333333,29.0,10.8090909091,-8.4915,-17.1494593506,0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1551405408.51,37,28,37.3333333333,29.0,10.8090909091,-8.4915,-17.1494593506,0.1665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1551405408.51,37,28,37.6666666667,28.6666666667,10.8363636364,-8.658,-17.2327296753,-0.1665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1551405408.53,37,29,37.6666666667,28.6666666667,10.8363636364,-8.658,-17.2327296753,-0.1665,36.6666666667,29.6666666667,16.8461538462,-7.15123481608,-14.2253319851,-5.48126052107,0,0,0,0,0,0
1551405408.58,37,29,37.6666666667,28.6666666667,10.8424242424,-8.658,-17.2743648376,0.0,36.6666666667,29.6666666667,16.8461538462,-7.15123481608,-14.2253319851,-5.48126052107,0,0,0,0,0,0
1551405408.61,36,29,37.3333333333,29.0,10.8090909091,-8.4915,-17.1286824188,0.1665,36.6666666667,29.6666666667,16.8461538462,-7.15123481608,-14.2253319851,-5.48126052107,0,0,0,0,0,0
1551405408.66,36,29,37.3333333333,29.0,10.8090909091,-8.1585,-16.7228412094,0.333,36.6666666667,29.6666666667,16.8461538462,-7.15123481608,-14.2253319851,-5.48126052107,0,0,0,0,0,0
1551405408.68,36,29,36.6666666667,29.6666666667,10.696969697,-7.4925,-15.8539206047,0.666,36.6666666667,29.6666666667,16.8461538462,-7.15123481608,-14.2253319851,-5.48126052107,0,0,0,0,0,0
1551405408.8,36,29,36.6666666667,29.6666666667,10.696969697,-7.4925,-15.8539206047,0.666,36.6666666667,29.6666666667,16.8461538462,-7.15123481608,-14.2253319851,-5.48126052107,0.0,0.0,0.0,0.0,0.0,0.0
1551405408.84,36,29,36.6666666667,29.6666666667,10.696969697,-7.4925,-15.8539206047,0.666,36.6666666667,29.6666666667,16.8461538462,-7.15123481608,-14.2253319851,-5.48126052107,36.3333333333,30.0,17.0897435897,-7.0945373329,-13.6392257647,-4.34655436153
