connected to 192.168.1.17
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1552865990.48,36,30,0,0,0,0,0,0,36.0,30.3333333333,17.8205128205,-6.25657206414,-12.5680163101,-4.3987121582,0,0,0,0,0,0
1552865990.49,36,30,0,0,0,0,0,0,36.0,30.3333333333,17.8205128205,-6.25657206414,-12.5680163101,-4.3987121582,37.3333333333,29.0,16.5641025641,-9.48366229389,-18.5758181462,-5.14080170053
1552865990.49,36,30,0,0,0,0,0,0,36.0,30.3333333333,17.9487179487,-6.26176347596,-12.545771631,-4.3987121582,37.3333333333,29.0,16.5641025641,-9.48366229389,-18.5758181462,-5.14080170053
1552865990.5,36,30,0,0,0,0,0,0,36.0,30.3333333333,17.9487179487,-6.26176347596,-12.545771631,-4.3987121582,37.3333333333,29.0,16.5897435897,-9.36587758275,-18.6537866559,-5.14080170053
1552865990.5,36,30,0,0,0,0,0,0,36.0,30.3333333333,18.0,-6.19400566398,-12.4668914795,-4.48460388184,37.3333333333,29.0,16.5897435897,-9.36587758275,-18.6537866559,-5.14080170053
1552865990.51,36,30,0,0,0,0,0,0,36.0,30.3333333333,18.0,-6.19400566398,-12.4668914795,-4.48460388184,37.3333333333,29.0,16.3333333333,-9.40692277157,-18.7338160995,-5.14080170053
1552865990.51,36,30,0.0,0.0,0.0,0.0,0.0,0.0,36.0,30.3333333333,18.0,-6.19400566398,-12.4668914795,-4.48460388184,37.3333333333,29.0,16.3333333333,-9.40692277157,-18.7338160995,-5.14080170053
1552865990.52,36,30,34.6666666667,31.6666666667,10.996969697,-3.1635,-6.32700000012,0.0,36.0,30.3333333333,18.0,-6.19400566398,-12.4668914795,-4.48460388184,37.3333333333,29.0,16.3333333333,-9.40692277157,-18.7338160995,-5.14080170053
1552865990.52,36,30,34.6666666667,31.6666666667,10.996969697,-3.1635,-6.32700000012,0.0,36.0,30.3333333333,17.2051282051,-5.82133462546,-12.0547803652,-4.08561706543,37.3333333333,29.0,16.3333333333,-9.40692277157,-18.7338160995,-5.14080170053
1552865990.53,36,30,34.6666666667,31.6666666667,10.996969697,-3.1635,-6.32700000012,0.0,36.0,30.3333333333,17.2051282051,-5.82133462546,-12.0547803652,-4.08561706543,37.3333333333,29.0,16.3205128205,-9.07172021906,-18.4386282688,-5.40810977757
1552865990.53,36,30,34.6666666667,31.6666666667,10.996969697,-3.1635,-6.32700000012,0.0,36.0,30.3333333333,17.4871794872,-5.85828529277,-11.8856754754,-3.94518280029,37.3333333333,29.0,16.3205128205,-9.07172021906,-18.4386282688,-5.40810977757
1552865990.54,36,30,34.6666666667,31.6666666667,10.996969697,-3.1635,-6.32700000012,0.0,36.0,30.3333333333,17.4871794872,-5.85828529277,-11.8856754754,-3.94518280029,37.3333333333,29.0,16.9871794872,-9.48366229389,-18.7029764283,-5.14080170053
1552865990.54,37,29,34.6666666667,31.6666666667,10.996969697,-3.1635,-6.32700000012,0.0,36.0,30.3333333333,16.8974358974,-6.13425953836,-12.077097276,-4.48460388184,37.3333333333,29.0,16.9871794872,-9.48366229389,-18.7029764283,-5.14080170053
1552865990.55,36,30,34.6666666667,31.6666666667,10.996969697,-3.1635,-6.32700000012,0.0,36.0,30.3333333333,16.8974358974,-6.13425953836,-12.077097276,-4.48460388184,37.3333333333,29.0,16.7820512821,-9.4767648677,-18.8282530818,-5.14080170053
1552865990.55,36,30,34.6666666667,31.6666666667,10.996969697,-3.1635,-6.32700000012,0.0,36.0,30.3333333333,17.8974358974,-6.24825458109,-12.2868032191,-4.48460388184,37.3333333333,29.0,16.7820512821,-9.4767648677,-18.8282530818,-5.14080170053
1552865990.56,36,30,34.6666666667,31.6666666667,10.996969697,-3.1635,-6.32700000012,0.0,36.0,30.3333333333,17.8974358974,-6.24825458109,-12.2868032191,-4.48460388184,37.3333333333,29.0,16.3717948718,-9.40692277157,-18.8210493125,-5.14080170053
1552865990.57,36,30,34.6666666667,31.6666666667,10.996969697,-3.1635,-6.32700000012,0.0,36.0,30.3333333333,16.9358974359,-6.14450215387,-12.2879037634,-4.48460388184,37.3333333333,29.0,16.3717948718,-9.40692277157,-18.8210493125,-5.14080170053
1552865990.58,36,30,34.6666666667,31.6666666667,10.996969697,-3.1635,-6.32700000012,0.0,36.0,30.3333333333,16.9358974359,-6.14450215387,-12.2879037634,-4.48460388184,37.3333333333,29.0,16.4615384615,-9.51139961268,-18.9219242689,-5.14080170053
1552865990.58,36,30,34.6666666667,31.6666666667,11.003030303,-3.1635,-6.32700000006,0.0,36.0,30.3333333333,16.9358974359,-6.14450215387,-12.2879037634,-4.48460388184,37.3333333333,29.0,16.4615384615,-9.51139961268,-18.9219242689,-5.14080170053
