connected to 192.168.1.30
FAILURE TO RECV..('integer division or modulo by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('integer division or modulo by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('integer division or modulo by zero',)..RECONNECTING
connected to 192.168.1.30
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 31 R: 34
L: 30 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 35
L: 29 R: 35
L: 29 R: 35
L: 28 R: 36
L: 28 R: 36
L: 28 R: 36
L: 28 R: 36
L: 28 R: 36
L: 28 R: 36
L: 28 R: 36
L: 28 R: 36
L: 28 R: 36
L: 28 R: 36
L: 28 R: 36
L: 27 R: 37
L: 27 R: 37
L: 27 R: 37
L: 27 R: 37
L: 27 R: 37
L: 27 R: 37
L: 27 R: 37
L: 27 R: 37
L: 27 R: 37
L: 27 R: 37
L: 27 R: 37
L: 27 R: 37
L: 27 R: 37
L: 27 R: 37
L: 27 R: 37
L: 27 R: 37
L: 27 R: 38
L: 27 R: 39
L: 27 R: 39
L: 27 R: 39
L: 27 R: 39
L: 27 R: 39
L: 27 R: 39
L: 27 R: 39
L: 26 R: 39
L: 25 R: 39
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 23 R: 42
L: 22 R: 43
L: 20 R: 44
L: 20 R: 44
L: 20 R: 44
L: 20 R: 44
L: 20 R: 44
L: 20 R: 44
L: 20 R: 44
L: 20 R: 44
L: 20 R: 44
L: 20 R: 44
L: 20 R: 44
L: 20 R: 44
L: 20 R: 44
L: 20 R: 44
L: 20 R: 45
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 45
L: 20 R: 45
L: 21 R: 44
L: 22 R: 44
L: 22 R: 44
L: 22 R: 44
L: 22 R: 44
L: 22 R: 44
L: 22 R: 44
L: 23 R: 42
L: 23 R: 42
L: 24 R: 41
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 25 R: 39
L: 25 R: 39
L: 24 R: 40
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 23 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 23 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 41
L: 24 R: 41
L: 23 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 40
L: 24 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 26 R: 39
L: 27 R: 38
L: 27 R: 38
L: 27 R: 38
L: 27 R: 38
L: 27 R: 38
L: 27 R: 38
L: 27 R: 38
L: 27 R: 38
L: 27 R: 38
L: 27 R: 38
L: 27 R: 38
L: 27 R: 38
L: 28 R: 37
L: 28 R: 36
L: 29 R: 36
L: 29 R: 36
L: 29 R: 36
L: 29 R: 36
L: 29 R: 36
L: 29 R: 36
L: 29 R: 36
L: 29 R: 36
L: 29 R: 36
L: 29 R: 36
L: 29 R: 36
L: 29 R: 36
L: 29 R: 36
L: 29 R: 36
L: 29 R: 35
L: 29 R: 35
L: 30 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 34
L: 31 R: 34
L: 31 R: 33
L: 32 R: 33
L: 32 R: 33
L: 32 R: 33
L: 32 R: 33
L: 32 R: 33
L: 32 R: 33
L: 32 R: 33
L: 32 R: 33
L: 32 R: 33
L: 32 R: 33
L: 32 R: 33
L: 32 R: 33
L: 32 R: 33
L: 32 R: 33
L: 32 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 32
L: 33 R: 32
L: 33 R: 31
L: 34 R: 31
L: 34 R: 31
L: 34 R: 31
L: 34 R: 31
L: 34 R: 31
L: 32 R: 32
L: 31 R: 33
L: 32 R: 32
L: 34 R: 31
L: 34 R: 31
L: 34 R: 31
L: 34 R: 31
L: 34 R: 31
L: 34 R: 31
L: 34 R: 31
L: 34 R: 31
L: 34 R: 31
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 33 R: 32
L: 32 R: 33
L: 33 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 32 R: 33
L: 32 R: 33
L: 31 R: 34
L: 30 R: 35
L: 30 R: 35
L: 30 R: 35
L: 30 R: 35
L: 30 R: 35
L: 30 R: 35
L: 30 R: 35
L: 30 R: 35
L: 32 R: 33
L: 34 R: 32
L: 32 R: 33
L: 30 R: 35
L: 30 R: 35
L: 30 R: 35
L: 32 R: 33
L: 31 R: 34
L: 33 R: 32
L: 33 R: 32
L: 33 R: 33
L: 30 R: 34
L: 28 R: 36
L: 28 R: 37
L: 28 R: 37
L: 28 R: 37
L: 28 R: 37
L: 27 R: 38
L: 27 R: 38
L: 27 R: 38
L: 26 R: 38
L: 26 R: 38
L: 25 R: 39
L: 24 R: 41
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 26 R: 39
L: 25 R: 40
L: 24 R: 41
L: 24 R: 41
L: 24 R: 40
L: 24 R: 40
L: 24 R: 40
L: 24 R: 40
L: 24 R: 40
L: 24 R: 40
L: 25 R: 40
L: 26 R: 39
L: 25 R: 40
L: 24 R: 40
L: 24 R: 40
L: 24 R: 40
L: 25 R: 39
L: 27 R: 37
L: 27 R: 37
L: 26 R: 39
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 39
L: 25 R: 39
L: 25 R: 39
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 26 R: 39
L: 27 R: 38
L: 26 R: 39
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 39
L: 25 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 25 R: 40
