connected to 192.168.1.14
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1554664955.86,42,24,0,0,0,0,0,0,0,0,0,0,0,0,42.3333333333,24.0,16.0769230769,-27.286014774,-52.8060145179,-11.0628718981
1554664955.86,42,24,0,0,0,0,0,0,42.0,24.3333333333,17.5897435897,-26.2923785821,-52.547417369,-9.59313284523,42.3333333333,24.0,16.0769230769,-27.286014774,-52.8060145179,-11.0628718981
1554664955.87,41,24,0,0,0,0,0,0,42.0,24.3333333333,17.5897435897,-26.2923785821,-52.547417369,-9.59313284523,41.6666666667,24.6666666667,15.9102564103,-25.5042690021,-51.907276261,-10.4859122354
1554664955.87,41,24,0,0,0,0,0,0,42.0,24.3333333333,17.5128205128,-26.4895767679,-52.7632854525,-9.99804770119,41.6666666667,24.6666666667,15.9102564103,-25.5042690021,-51.907276261,-10.4859122354
1554664955.87,41,24,0,0,0,0,0,0,42.0,24.3333333333,17.9743589744,-26.7222632788,-53.1039060051,-9.59313284523,41.6666666667,24.6666666667,15.9102564103,-25.5042690021,-51.907276261,-10.4859122354
1554664955.88,41,24,0,0,0,0,0,0,42.0,24.3333333333,17.9743589744,-26.7222632788,-53.1039060051,-9.59313284523,41.6666666667,24.6666666667,16.0769230769,-25.6143570115,-51.567995142,-10.4859122354
1554664955.9,41,24,0,0,0,0,0,0,42.0,24.3333333333,17.9743589744,-26.7222632788,-53.1039060051,-9.59313284523,41.6666666667,24.6666666667,15.7435897436,-25.2571206718,-51.0411182428,-10.6425537964
1554664955.9,41,24,0,0,0,0,0,0,42.0,24.3333333333,17.6025641026,-26.5205141629,-53.0724671654,-10.1092995322,41.6666666667,24.6666666667,15.7435897436,-25.2571206718,-51.0411182428,-10.6425537964
1554664955.93,41,24,0,0,0,0,0,0,42.0,24.3333333333,17.4230769231,-26.1201632791,-52.6563968618,-9.59313284523,41.6666666667,24.6666666667,15.7435897436,-25.2571206718,-51.0411182428,-10.6425537964
1554664955.94,41,24,0,0,0,0,0,0,42.0,24.3333333333,17.4230769231,-26.1201632791,-52.6563968618,-9.59313284523,41.6666666667,24.6666666667,15.7948717949,-25.4048102775,-50.9253693989,-10.3628348428
1554664955.97,41,24,0,0,0,0,0,0,42.0,24.3333333333,17.5256410256,-26.1626991136,-52.4908975445,-9.63566867967,41.6666666667,24.6666666667,15.7948717949,-25.4048102775,-50.9253693989,-10.3628348428
1554664955.97,41,24,0,0,0,0,0,0,42.0,24.3333333333,17.5256410256,-26.1626991136,-52.4908975445,-9.63566867967,41.6666666667,24.6666666667,15.7692307692,-25.2353707617,-50.6980554611,-10.5153641602
1554664956.0,42,24,0,0,0,0,0,0,42.0,24.3333333333,17.5256410256,-26.1626991136,-52.4908975445,-9.63566867967,42.6666666667,23.6666666667,16.1666666667,-28.7513116851,-54.1003394157,-10.9397945055
1554664956.0,41,24,0,0,0,0,0,0,41.3333333333,25.0,17.5769230769,-24.9468595085,-51.1923082808,-9.46822305243,42.6666666667,23.6666666667,16.1666666667,-28.7513116851,-54.1003394157,-10.9397945055
1554664956.03,42,24,0,0,0,0,0,0,41.6666666667,24.6666666667,17.6153846154,-25.0929789057,-50.6891330461,-9.38022676054,42.6666666667,23.6666666667,16.1666666667,-28.7513116851,-54.1003394157,-10.9397945055
1554664956.04,41,24,0,0,0,0,0,0,41.6666666667,24.6666666667,17.6153846154,-25.0929789057,-50.6891330461,-9.38022676054,41.6666666667,24.6666666667,16.0256410256,-25.2654531375,-52.3156228454,-9.61947811306
1554664956.07,41,24,0,0,0,0,0,0,41.3333333333,25.0,17.7948717949,-24.8191149371,-50.1636814601,-8.6239355004,41.6666666667,24.6666666667,16.0256410256,-25.2654531375,-52.3156228454,-9.61947811306
1554664956.08,41,24,0,0,0,0,0,0,41.3333333333,25.0,17.7948717949,-24.8191149371,-50.1636814601,-8.6239355004,41.6666666667,24.6666666667,16.1666666667,-25.917769122,-52.0755805446,-9.43873775661
1554664956.1,41,24,0,0,0,0,0,0,41.3333333333,25.0,17.7948717949,-24.8191149371,-50.1636814601,-8.6239355004,42.0,24.3333333333,15.9487179487,-26.9201726666,-52.9579629389,-10.318445093
1554664956.1,41,25,0,0,0,0,0,0,40.6666666667,25.6666666667,17.7820512821,-22.9767637157,-48.0586044458,-7.97359435431,42.0,24.3333333333,15.9487179487,-26.9201726666,-52.9579629389,-10.318445093
1554664956.13,41,25,0,0,0,0,0,0,40.6666666667,25.6666666667,18.1282051282,-22.9244433164,-46.9537455393,-8.27816045914,42.0,24.3333333333,15.9487179487,-26.9201726666,-52.9579629389,-10.318445093
1554664956.14,41,25,0,0,0,0,0,0,40.6666666667,25.6666666667,18.1282051282,-22.9244433164,-46.9537455393,-8.27816045914,41.6666666667,24.6666666667,16.3717948718,-25.4619916164,-51.9409730858,-9.74042718414
1554664956.16,41,25,0,0,0,0,0,0,40.6666666667,25.6666666667,18.1282051282,-22.9244433164,-46.9537455393,-8.27816045914,41.6666666667,24.6666666667,15.8717948718,-25.1260038947,-51.0964904377,-10.1286260367
1554664956.17,41,25,0,0,0,0,0,0,41.0,25.3333333333,18.2948717949,-23.1186571076,-46.5955298772,-8.46587408218,41.6666666667,24.6666666667,15.8717948718,-25.1260038947,-51.0964904377,-10.1286260367
1554664956.19,41,25,0,0,0,0,0,0,41.0,25.3333333333,18.2948717949,-23.1186571076,-46.5955298772,-8.46587408218,41.6666666667,24.6666666667,16.2307692308,-25.2517198408,-50.7999650597,-9.01065032887
1554664956.2,40,25,0,0,0,0,0,0,40.3333333333,26.0,17.7307692308,-21.3622065066,-44.6599714452,-7.59083513577,41.6666666667,24.6666666667,16.2307692308,-25.2517198408,-50.7999650597,-9.01065032887
1554664956.23,40,25,0,0,0,0,0,0,40.3333333333,26.0,17.7307692308,-21.3622065066,-44.6599714452,-7.59083513577,41.6666666667,24.6666666667,16.0897435897,-25.4268678396,-50.8268503695,-9.8305050652
1554664956.24,41,25,0,0,0,0,0,0,41.0,25.3333333333,18.0641025641,-23.5101070986,-45.8400928212,-8.37817631548,41.6666666667,24.6666666667,16.0897435897,-25.4268678396,-50.8268503695,-9.8305050652
1554664956.27,41,25,0,0,0,0,0,0,41.0,25.3333333333,17.8076923077,-23.2593440365,-46.1793904471,-8.34932283407,41.6666666667,24.6666666667,16.0897435897,-25.4268678396,-50.8268503695,-9.8305050652
1554664956.27,41,25,0,0,0,0,0,0,41.0,25.3333333333,17.8076923077,-23.2593440365,-46.1793904471,-8.34932283407,41.3333333333,25.0,16.0769230769,-24.7353007854,-50.1487259701,-9.59805082196
1554664956.3,41,25,0,0,0,0,0,0,41.0,25.3333333333,17.8076923077,-23.2593440365,-46.1793904471,-8.34932283407,41.3333333333,25.0,16.1794871795,-24.848274567,-49.9226375521,-9.30993652344
1554664956.3,40,25,0,0,0,0,0,0,40.6666666667,25.6666666667,18.4487179487,-22.4690281363,-45.5587233598,-8.55562657443,41.3333333333,25.0,16.1794871795,-24.848274567,-49.9226375521,-9.30993652344
1554664956.35,40,25,0,0,0,0,0,0,40.3333333333,26.0,17.9487179487,-21.8948529117,-44.6742145917,-7.85331726074,41.3333333333,25.0,16.1794871795,-24.848274567,-49.9226375521,-9.30993652344
1554664956.35,40,25,0,0,0,0,0,0,40.3333333333,26.0,17.9487179487,-21.8948529117,-44.6742145917,-7.85331726074,41.0,25.3333333333,16.1282051282,-23.7444359178,-48.7057546939,-8.66739107258
1554664956.36,41,25,0,0,0,0,0,0,40.3333333333,26.0,17.9487179487,-21.8948529117,-44.6742145917,-7.85331726074,42.0,24.3333333333,17.2179487179,-26.622824953,-50.9757022999,-9.40476293934
1554664956.37,41,25,0,0,0,0,0,0,40.6666666667,25.6666666667,17.858974359,-22.7211896028,-45.0582968986,-8.25942993164,42.0,24.3333333333,17.2179487179,-26.622824953,-50.9757022999,-9.40476293934
1554664956.39,41,25,0,0,0,0,0,0,40.6666666667,25.6666666667,17.858974359,-22.7211896028,-45.0582968986,-8.25942993164,41.6666666667,24.6666666667,17.3717948718,-25.7538116539,-51.2416628039,-8.14745620733
1554664956.4,41,25,0,0,0,0,0,0,40.6666666667,25.6666666667,18.4871794872,-22.1985898046,-44.7277382539,-8.41637350534,41.6666666667,24.6666666667,17.3717948718,-25.7538116539,-51.2416628039,-8.14745620733
1554664956.43,40,25,0,0,0,0,0,0,40.3333333333,26.0,18.2564102564,-21.9081243131,-44.2719934401,-7.89602254227,41.6666666667,24.6666666667,17.3717948718,-25.7538116539,-51.2416628039,-8.14745620733
1554664956.44,41,25,0,0,0,0,0,0,40.3333333333,26.0,18.2564102564,-21.9081243131,-44.2719934401,-7.89602254227,42.3333333333,24.0,17.9487179487,-27.7292632302,-53.3500946322,-8.48561386114
1554664956.46,41,24,0,0,0,0,0,0,40.6666666667,25.6666666667,18.8461538462,-22.8991824259,-45.035179146,-8.5356344145,42.3333333333,24.0,17.9487179487,-27.7292632302,-53.3500946322,-8.48561386114
1554664956.47,40,25,0,0,0,0,0,0,40.6666666667,25.6666666667,18.8461538462,-22.8991824259,-45.035179146,-8.5356344145,41.3333333333,25.0,18.0512820513,-24.1764834563,-50.8515307724,-15.336393469
1554664956.49,41,25,0,0,0,0,0,0,40.6666666667,25.6666666667,18.8461538462,-22.8991824259,-45.035179146,-8.5356344145,41.3333333333,25.0,18.8717948718,-24.8515019652,-50.2772673514,-16.0552407187
1554664956.5,40,25,0,0,0,0,0,0,40.3333333333,26.0,18.7692307692,-21.4697430986,-43.9873326716,-11.3547975952,41.3333333333,25.0,18.8717948718,-24.8515019652,-50.2772673514,-16.0552407187
1554664956.53,40,25,0,0,0,0,0,0,40.0,26.3333333333,19.5,-20.2385451717,-42.2322115075,-12.4487490719,41.3333333333,25.0,18.8717948718,-24.8515019652,-50.2772673514,-16.0552407187
1554664956.54,41,25,0,0,0,0,0,0,40.0,26.3333333333,19.5,-20.2385451717,-42.2322115075,-12.4487490719,42.3333333333,24.0,19.4358974359,-27.1506041019,-52.2892377776,-17.7557183188
