connected to 192.168.1.14
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1554670783.17,48,18,0,0,0,0,0,0,48.3333333333,18.0,18.0897435897,-14.3444778861,-16142.3745886,-6.62267339859,0,0,0,0,0,0
1554670783.17,49,17,0,0,0,0,0,0,48.3333333333,18.0,18.0897435897,-14.3444778861,-16142.3745886,-6.62267339859,50.3333333333,16.0,16.2307692308,-16.4009023991,-13524.2286218,-7.27283447194
1554670783.18,49,16,0,0,0,0,0,0,48.3333333333,18.0,18.0897435897,-14.3444778861,-16142.3745886,-6.62267339859,50.6666666667,15.6666666667,16.5512820513,-16.7215999268,-13540.9502217,-7.05191365605
1554670783.18,49,17,0,0,0,0,0,0,48.0,18.3333333333,17.5641025641,-13.951594916,-16156.3261835,-6.56176734617,50.6666666667,15.6666666667,16.5512820513,-16.7215999268,-13540.9502217,-7.05191365605
1554670783.19,49,17,0,0,0,0,0,0,48.0,18.3333333333,17.5641025641,-13.951594916,-16156.3261835,-6.56176734617,50.6666666667,15.6666666667,16.4871794872,-16.5083932386,-13557.458615,-7.27283447194
1554670783.19,49,16,0,0,0,0,0,0,48.6666666667,17.6666666667,18.1794871795,-14.2768728043,-16170.6030563,-6.89081609878,50.6666666667,15.6666666667,16.4871794872,-16.5083932386,-13557.458615,-7.27283447194
1554670783.2,49,16,0,0,0,0,0,0,48.6666666667,17.6666666667,18.1794871795,-14.2768728043,-16170.6030563,-6.89081609878,50.6666666667,15.6666666667,16.5128205128,-16.5083932386,-13573.9670082,-7.27283447194
1554670783.2,49,16,0,0,0,0,0,0,48.3333333333,18.0,17.9102564103,-14.2107168469,-16184.8137732,-6.76172674332,50.6666666667,15.6666666667,16.5128205128,-16.5083932386,-13573.9670082,-7.27283447194
1554670783.21,49,16,0,0,0,0,0,0,48.6666666667,17.6666666667,18.4358974359,-14.4189829266,-16199.2327561,-6.69111669693,50.6666666667,15.6666666667,16.5128205128,-16.5083932386,-13573.9670082,-7.27283447194
1554670783.21,49,16,0,0,0,0,0,0,48.6666666667,17.6666666667,18.4358974359,-14.4189829266,-16199.2327561,-6.69111669693,50.3333333333,16.0,16.2051282051,-16.4009023991,-13590.3679106,-7.27283447194
1554670783.22,49,16,0,0,0,0,0,0,48.6666666667,17.6666666667,18.2692307692,-14.4565339209,-16213.68929,-6.70856512222,50.3333333333,16.0,16.2051282051,-16.4009023991,-13590.3679106,-7.27283447194
1554670783.22,49,16,0,0,0,0,0,0,48.6666666667,17.6666666667,18.2692307692,-14.4565339209,-16213.68929,-6.70856512222,50.3333333333,16.0,16.2564102564,-16.4009023991,-13606.768813,-7.27283447194
1554670783.25,49,17,0,0,0,0,0,0,48.3333333333,18.0,17.8846153846,-14.2934765899,-16227.9827666,-6.55626714859,50.3333333333,16.0,16.2564102564,-16.4009023991,-13606.768813,-7.27283447194
1554670783.26,49,17,0,0,0,0,0,0,48.3333333333,18.0,17.8846153846,-14.2934765899,-16227.9827666,-6.55626714859,50.3333333333,16.0,16.1794871795,-16.2380240868,-13623.0068371,-7.49752014088
1554670783.28,49,16,0,0,0,0,0,0,48.3333333333,18.0,17.8846153846,-14.2934765899,-16227.9827666,-6.55626714859,50.6666666667,15.6666666667,16.5897435897,-16.6793376166,-13639.6861747,-7.26126424198
1554670783.29,48,17,0,0,0,0,0,0,46.3333333333,20.0,18.2435897436,-12.3363729863,-16240.3191396,-5.90472660845,50.6666666667,15.6666666667,16.5897435897,-16.6793376166,-13639.6861747,-7.26126424198
1554670783.32,48,18,0,0,0,0,0,0,46.0,20.3333333333,17.2564102564,-11.8399292019,-16252.1590688,-6.0833964761,50.6666666667,15.6666666667,16.5897435897,-16.6793376166,-13639.6861747,-7.26126424198
1554670783.32,47,19,0,0,0,0,0,0,46.0,20.3333333333,17.2564102564,-11.8399292019,-16252.1590688,-6.0833964761,48.6666666667,17.6666666667,16.4871794872,-14.8343429783,-13654.5205177,-6.48487638348
1554670783.35,47,18,0,0,0,0,0,0,46.3333333333,20.0,17.7692307692,-12.1473332152,-16264.306402,-6.0169902261,48.6666666667,17.6666666667,16.4871794872,-14.8343429783,-13654.5205177,-6.48487638348
1554670783.36,47,18,0,0,0,0,0,0,46.3333333333,20.0,17.7692307692,-12.1473332152,-16264.306402,-6.0169902261,48.6666666667,17.6666666667,16.4871794872,-14.8343429783,-13669.3548607,-6.48487638348
1554670783.39,47,18,0,0,0,0,0,0,46.3333333333,20.0,17.7692307692,-12.1473332152,-16264.306402,-6.0169902261,48.6666666667,17.6666666667,16.4615384615,-14.8343429783,-13684.1892037,-6.48487638348
1554670783.39,47,18,0,0,0,0,0,0,46.3333333333,20.0,17.7307692308,-12.3006042837,-16276.6070063,-6.0833964761,48.6666666667,17.6666666667,16.4615384615,-14.8343429783,-13684.1892037,-6.48487638348
1554670783.42,48,17,0,0,0,0,0,0,48.3333333333,18.0,17.2820512821,-14.2566766047,-16290.8636829,-6.73034644773,48.6666666667,17.6666666667,16.4615384615,-14.8343429783,-13684.1892037,-6.48487638348
1554670783.43,48,17,0,0,0,0,0,0,48.3333333333,18.0,17.2820512821,-14.2566766047,-16290.8636829,-6.73034644773,48.6666666667,17.6666666667,16.5,-14.8343429783,-13699.0235466,-6.48487638348
1554670783.45,49,16,0,0,0,0,0,0,48.3333333333,18.0,17.2820512821,-14.2566766047,-16290.8636829,-6.73034644773,50.6666666667,15.6666666667,16.5384615385,-16.7331701568,-13715.7567168,-7.063483886
1554670783.46,49,16,0,0,0,0,0,0,48.3333333333,18.0,17.2564102564,-13.9096186548,-16304.7733016,-6.91259742429,50.6666666667,15.6666666667,16.5384615385,-16.7331701568,-13715.7567168,-7.063483886
1554670783.48,49,16,0,0,0,0,0,0,48.3333333333,18.0,17.2564102564,-13.9096186548,-16304.7733016,-6.91259742429,50.6666666667,15.6666666667,16.5512820513,-16.580052143,-13732.3367689,-7.27283447194
1554670783.49,48,17,0,0,0,0,0,0,46.3333333333,20.0,18.1538461538,-12.2837105162,-16317.0570121,-5.98436222857,50.6666666667,15.6666666667,16.5512820513,-16.580052143,-13732.3367689,-7.27283447194
1554670783.52,47,18,0,0,0,0,0,0,46.3333333333,20.0,18.1538461538,-12.2837105162,-16317.0570121,-5.98436222857,48.6666666667,17.6666666667,16.4358974359,-14.6797682279,-13747.0165372,-6.69422696942
1554670783.53,47,18,0,0,0,0,0,0,46.3333333333,20.0,18.0256410256,-12.2895226403,-16329.3465347,-5.98436222857,48.6666666667,17.6666666667,16.4358974359,-14.6797682279,-13747.0165372,-6.69422696942
