connected to 192.168.1.14
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1554770977.62,49,16,49.6666666667,16.6666666667,7.7484848485,-31.8015,-31.8015,-31.8015,0,0,0,0,0,0,0,0,0,0,0,0
1554770977.71,51,15,51.3333333333,15.0,3.75454545453,-34.1325,-62.75385,-2.331,0,0,0,0,0,0,0,0,0,0,0,0
1554770977.8,51,15,51.3333333333,15.0,6.02424242423,-33.1335,-89.611965,0.999,0,0,0,0,0,0,0,0,0,0,0,0
1554770977.9,49,17,49.3333333333,17.0,5.92424242423,-28.638,-109.2887685,4.4955,0,0,0,0,0,0,0,0,0,0,0,0
1554770977.99,46,20,46.3333333333,20.0,6.93636363637,-22.0005146942,-120.360406344,6.63748530579,0,0,0,0,0,0,0,0,0,0,0,0
1554770978.08,42,24,42.3333333333,24.0,6.1303030303,-14.319,-122.64336571,7.68151469421,0,0,0,0,0,0,0,0,0,0,0,0
1554770978.18,37,28,37.3333333333,29.0,10.0333333333,-4.4955,-114.874529139,9.8235,0,0,0,0,0,0,0,0,0,0,0,0
1554770978.27,33,32,33.6666666667,32.6666666667,9.2909090909,2.664,-100.723076225,7.1595,0,0,0,0,0,0,0,0,0,0,0,0
1554770978.36,31,35,31.3333333333,35.0,10.8727272727,6.327,-84.3237686024,3.663,0,0,0,0,0,0,0,0,0,0,0,0
1554770978.46,31,35,31.0,35.3333333333,10.8757575758,6.327,-69.5643917422,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1554770978.55,32,34,32.0,34.3333333333,11.2060606061,4.329,-58.278952568,-1.998,0,0,0,0,0,0,0,0,0,0,0,0
1554770978.65,33,32,33.6666666667,32.6666666667,11.4151515152,0.666,-51.7850573112,-3.663,0,0,0,0,0,0,0,0,0,0,0,0
1554770978.74,36,30,36.3333333333,30.0,11.2454545455,-4.662,-51.2685515801,-5.328,0,0,0,0,0,0,0,0,0,0,0,0
1554770978.83,39,27,39.3333333333,27.0,11.1939393939,-10.323,-56.4646964221,-5.661,0,0,0,0,0,0,0,0,0,0,0,0
1554770978.93,41,24,41.6666666667,24.6666666667,11.1606060606,-14.985,-65.8032267798,-4.662,0,0,0,0,0,0,0,0,0,0,0,0
1554770979.02,43,22,43.6666666667,22.6666666667,10.9181818182,-18.1484898376,-77.3713939395,-3.16348983765,0,0,0,0,0,0,0,0,0,0,0,0
1554770979.11,45,20,45.6666666667,20.6666666667,11.0878787879,-21.8115,-91.4457545456,-3.66301016235,0,0,0,0,0,0,0,0,0,0,0,0
1554770979.21,47,19,47.0,19.3333333333,12.0181818182,-23.8095,-106.110679091,-1.998,0,0,0,0,0,0,0,0,0,0,0,0
