connected to 192.168.1.14
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1554943524.48,61,5,61.3333333333,5.0,9.36363636363,-12.654,-12.654,-12.654,0,0,0,0,0,0,0,0,0,0,0,0
1554943524.5,39,26,39.6666666667,26.6666666667,2.18181818182,-12.1545,-23.5431,0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1554943524.54,44,22,44.0,22.3333333333,10.2636363636,-13.4864949188,-34.6752849188,-1.33199491882,0,0,0,0,0,0,0,0,0,0,0,0
1554943524.56,41,24,41.6666666667,24.6666666667,10.4,-13.32,-44.5277564269,0.166494918823,0,0,0,0,0,0,0,0,0,0,0,0
1554943524.61,40,26,40.3333333333,26.0,10.4363636364,-12.321,-52.3959807842,0.999,0,0,0,0,0,0,0,0,0,0,0,0
1554943524.71,36,29,36.6666666667,29.6666666667,8.9212121212,-9.82349491882,-56.9798776246,2.49750508118,0,0,0,0,0,0,0,0,0,0,0,0
1554943524.8,40,25,40.6666666667,25.6666666667,10.9939393939,-9.65698983765,-60.9388796998,0.166505081177,0,0,0,0,0,0,0,0,0,0,0,0
1554943524.89,45,21,45.0,21.3333333333,11.8606060606,-11.3219898376,-66.1669815675,-1.665,0,0,0,0,0,0,0,0,0,0,0,0
1554943524.99,42,24,42.3333333333,24.0,12.8575757576,-11.322,-70.8722834107,-1.01623535151e-05,0,0,0,0,0,0,0,0,0,0,0,0
1554943525.08,46,20,46.0,20.3333333333,12.5181818182,-12.8204898376,-76.6055449073,-1.49848983765,0,0,0,0,0,0,0,0,0,0,0,0
1554943525.18,47,18,47.6666666667,18.6666666667,12.1848484848,-14.652,-83.5969904166,-1.83151016235,0,0,0,0,0,0,0,0,0,0,0,0
1554943525.27,46,20,46.0,20.3333333333,11.803030303,-15.1515,-90.3887913749,-0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1554943525.36,41,24,41.6666666667,24.6666666667,11.3939393939,-13.32,-94.6699122374,1.8315,0,0,0,0,0,0,0,0,0,0,0,0
1554943525.45,38,28,38.3333333333,28.0,10.9848484848,-10.4894898376,-95.6924108513,2.83051016235,0,0,0,0,0,0,0,0,0,0,0,0
1554943525.55,40,26,40.0,26.3333333333,11.0484848485,-8.991,-95.1141697662,1.49848983765,0,0,0,0,0,0,0,0,0,0,0,0
1554943525.64,47,19,47.3333333333,19.0,11.9878787879,-11.1555,-96.7582527896,-2.1645,0,0,0,0,0,0,0,0,0,0,0,0
1554943525.74,47,19,47.3333333333,19.0,12.6818181818,-12.8205,-99.9029275106,-1.665,0,0,0,0,0,0,0,0,0,0,0,0
1554943525.83,43,22,43.6666666667,22.6666666667,13.0939393939,-12.321,-102.23363476,0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1554943525.92,42,23,42.6666666667,23.6666666667,12.7,-11.4885,-103.498771284,0.8325,0,0,0,0,0,0,0,0,0,0,0,0
1554943526.02,43,22,43.6666666667,22.6666666667,12.2393939394,-11.322,-104.470894155,0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1554943526.11,42,24,42.3333333333,24.0,12.1575757576,-10.4895,-104.51330474,0.8325,0,0,0,0,0,0,0,0,0,0,0,0
1554943526.21,43,23,43.3333333333,23.0,11.9181818182,-10.323,-104.384974266,0.1665,0,0,0,0,0,0,0,0,0,0,0,0
1554943526.3,40,25,40.6666666667,25.6666666667,8.0515151515,-9.04754841614,-102.994025255,1.27545158386,0,0,0,0,0,0,0,0,0,0,0,0
1554943526.39,42,23,42.6666666667,23.6666666667,7.49696969697,-8.991,-101.68562273,0.0565484161377,0,0,0,0,0,0,0,0,0,0,0,0
1554943526.49,43,23,43.0,23.3333333333,6.18484848483,-9.15749491882,-100.674555376,-0.166494918823,0,0,0,0,0,0,0,0,0,0,0,0
1554943526.58,42,24,42.3333333333,24.0,4.57272727273,-9.04863070679,-99.6557305448,0.108864212036,0,0,0,0,0,0,0,0,0,0,0,0
1554943526.67,36,30,36.3333333333,30.0,3.3696969697,-6.1605,-95.8506574904,2.88813070679,0,0,0,0,0,0,0,0,0,0,0,0
1554943526.77,34,31,34.6666666667,31.6666666667,2.69696969697,-3.33,-89.5955917413,2.8305,0,0,0,0,0,0,0,0,0,0,0,0
1554943526.86,32,34,32.3333333333,34.0,3.34242424243,-0.333,-80.9690325672,2.997,0,0,0,0,0,0,0,0,0,0,0,0
1554943526.95,40,26,40.3333333333,26.0,2.12424242424,-1.8315,-74.7036293105,-1.4985,0,0,0,0,0,0,0,0,0,0,0,0
1554943527.05,35,31,35.3333333333,31.0,3.18181818182,-0.8325,-68.0657663794,0.999,0,0,0,0,0,0,0,0,0,0,0,0
1554943527.14,27,39,27.0,39.3333333333,4.62727272727,3.4965,-57.7626897415,4.329,0,0,0,0,0,0,0,0,0,0,0,0
1554943527.24,16,50,16.0,50.3333333333,3.54545454547,11.4885,-40.4979207673,7.992,0,0,0,0,0,0,0,0,0,0,0,0
1554943527.33,27,39,27.3333333333,39.0,5.2909090909,12.1013813782,-24.3467473124,0.612881378174,0,0,0,0,0,0,0,0,0,0,0,0
1554943527.42,31,35,31.3333333333,35.0,6.5606060606,10.4895,-11.4225725812,-1.61188137817,0,0,0,0,0,0,0,0,0,0,0,0
1554943527.52,36,30,36.3333333333,30.0,8.06666666667,6.66,-3.62031532307,-3.8295,0,0,0,0,0,0,0,0,0,0,0,0
1554943527.61,31,34,31.6666666667,34.6666666667,7.05454545453,5.8275,2.56921620924,-0.8325,0,0,0,0,0,0,0,0,0,0,0,0
1554943527.7,20,46,20.0,46.3333333333,6.4909090909,10.323,12.6352945883,4.4955,0,0,0,0,0,0,0,0,0,0,0,0
1554943527.8,18,48,18.0,48.3333333333,11.5606060606,14.319,25.6907651295,3.996,0,0,0,0,0,0,0,0,0,0,0,0
1554943527.89,23,43,23.0,43.3333333333,10.596969697,14.8185,37.9401886165,0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1554943527.99,26,39,26.6666666667,39.6666666667,11.1696969697,13.32,47.4661697549,-1.4985,0,0,0,0,0,0,0,0,0,0,0,0
1554943528.08,27,39,27.0,39.3333333333,11.0,11.8215,54.5410527794,-1.4985,0,0,0,0,0,0,0,0,0,0,0,0
1554943528.17,24,42,24.3333333333,42.0,10.9696969697,11.8215,60.9084475015,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1554943528.27,21,44,21.6666666667,44.6666666667,11.2090909091,12.8205,67.6381027513,0.999,0,0,0,0,0,0,0,0,0,0,0,0
1554943528.36,21,44,21.6666666667,44.6666666667,12.1090909091,13.4865,74.3607924762,0.666,0,0,0,0,0,0,0,0,0,0,0,0
1554943528.45,22,44,22.3333333333,44.0,12.4121212121,13.4865,80.4112132286,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1554943528.55,21,45,21.3333333333,45.0,12.3545454545,13.8195,86.1895919057,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1554943528.64,17,49,17.3333333333,49.0,11.8212121212,15.8175,93.3881327151,1.998,0,0,0,0,0,0,0,0,0,0,0,0
1554943528.74,19,46,19.6666666667,46.6666666667,11.5090909091,16.1505,100.199819444,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1554943528.83,24,42,24.3333333333,42.0,9.97272727273,14.1525,104.332337499,-1.998,0,0,0,0,0,0,0,0,0,0,0,0
1554943528.92,23,43,23.0,43.3333333333,10.7939393939,13.1535,107.052603749,-0.999,0,0,0,0,0,0,0,0,0,0,0,0
