connected to 192.168.1.14
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1554768818.89,49,16,49.6666666667,16.6666666667,10.3121212121,-19.647,1105.8411015,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1554768818.89,49,16,49.6666666667,16.6666666667,10.3242424242,-19.647,1086.1941015,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1554768818.9,49,16,49.6666666667,16.6666666667,10.3181818182,-19.647,1066.5471015,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1554768818.94,49,16,49.6666666667,16.6666666667,10.3242424242,-19.647,1046.9001015,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1554768819.03,49,17,49.3333333333,17.0,10.2212121212,-19.314,1027.5861015,0.333,0,0,0,0,0,0,0,0,0,0,0,0
1554768819.12,44,22,44.0,22.3333333333,9.46363636363,-12.8205,1014.7656015,6.4935,0,0,0,0,0,0,0,0,0,0,0,0
1554768819.22,34,32,34.3333333333,32.0,9.15757575757,-1.4985,1013.2671015,11.322,0,0,0,0,0,0,0,0,0,0,0,0
1554768819.31,24,42,24.0,42.3333333333,10.1484848485,10.8225050812,1024.08960658,12.3210050812,0,0,0,0,0,0,0,0,0,0,0,0
1554768819.41,20,45,20.6666666667,45.6666666667,10.903030303,14.8185050812,1038.90811166,3.996,0,0,0,0,0,0,0,0,0,0,0,0
1554768819.5,23,42,23.6666666667,42.6666666667,11.1606060606,11.4885,1050.39661166,-3.33000508118,0,0,0,0,0,0,0,0,0,0,0,0
1554768819.61,30,36,30.0,36.3333333333,11.1727272727,3.663,1054.05961166,-7.8255,0,0,0,0,0,0,0,0,0,0,0,0
1554768819.7,39,27,39.0,27.3333333333,11.3666666667,-6.993,1047.06661166,-10.656,0,0,0,0,0,0,0,0,0,0,0,0
1554768819.79,46,20,46.3333333333,20.0,11.6909090909,-15.8175,1031.24911166,-8.8245,0,0,0,0,0,0,0,0,0,0,0,0
1554768819.88,50,15,50.6666666667,15.6666666667,11.8424242424,-20.8125,1010.43661166,-4.995,0,0,0,0,0,0,0,0,0,0,0,0
1554768819.97,52,14,52.0,14.3333333333,11.5818181818,-22.4775,987.959111658,-1.665,0,0,0,0,0,0,0,0,0,0,0,0
1554768820.06,51,15,51.3333333333,15.0,11.3303030303,-21.9779898376,965.98112182,0.499510162354,0,0,0,0,0,0,0,0,0,0,0,0
1554768820.15,48,18,48.0,18.3333333333,11.5454545455,-17.982,947.99912182,3.99598983765,0,0,0,0,0,0,0,0,0,0,0,0
1554768820.25,43,22,43.6666666667,22.6666666667,11.8909090909,-12.4875,935.51162182,5.4945,0,0,0,0,0,0,0,0,0,0,0,0
1554768820.34,39,27,39.3333333333,27.0,12.5515151515,-7.326,928.18562182,5.1615,0,0,0,0,0,0,0,0,0,0,0,0
1554768820.44,37,29,37.0,29.3333333333,12.2393939394,-4.4955,923.69012182,2.8305,0,0,0,0,0,0,0,0,0,0,0,0
1554768820.53,37,28,37.6666666667,28.6666666667,11.1303030303,-5.4945,918.19562182,-0.999,0,0,0,0,0,0,0,0,0,0,0,0
1554768820.62,43,22,43.6666666667,22.6666666667,8.58484848483,-12.4875,905.70812182,-6.993,0,0,0,0,0,0,0,0,0,0,0,0
1554768820.72,44,22,44.0,22.3333333333,8.4393939394,-13.1535,892.55462182,-0.666,0,0,0,0,0,0,0,0,0,0,0,0
1554768820.81,44,21,44.6666666667,21.6666666667,9.82424242423,-13.986,878.56862182,-0.8325,0,0,0,0,0,0,0,0,0,0,0,0
1554768820.91,40,25,40.6666666667,25.6666666667,2.4303030303,-9.15750508118,869.411116739,4.82849491882,0,0,0,0,0,0,0,0,0,0,0,0
1554768821.0,48,18,48.0,18.3333333333,3.84545454547,-17.649,851.762116739,-8.49149491882,0,0,0,0,0,0,0,0,0,0,0,0
1554768821.09,44,22,44.0,22.3333333333,2.91212121212,-12.942844574,838.819272165,4.70615542603,0,0,0,0,0,0,0,0,0,0,0,0
1554768821.19,42,24,42.0,24.3333333333,2.52424242424,-10.6690687866,828.150203379,2.27377578735,0,0,0,0,0,0,0,0,0,0,0,0
1554768821.28,38,27,38.6666666667,27.6666666667,1.04545454545,-6.66,821.490203379,4.00906878662,0,0,0,0,0,0,0,0,0,0,0,0
1554768821.37,38,27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1
1554768821.47,33,33,33.0,33.3333333333,1.21515151515,0.1665,821.656703379,6.8265,0,0,0,0,0,0,0,0,0,0,0,0
1554768821.56,35,31,35.3333333333,31.0,0.106060606061,-2.664,818.992703379,-2.8305,0,0,0,0,0,0,0,0,0,0,0,0
1554768821.65,29,37,29.3333333333,37.0,2.07575757576,4.4955,823.488203379,7.1595,0,0,0,0,0,0,0,0,0,0,0,0
1554768821.75,30,36,30.0,36.3333333333,0.39090909091,3.996,827.484203379,-0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1554768821.84,24,42,24.3333333333,42.0,4.19696969697,10.5468359985,838.031039377,6.55083599854,0,0,0,0,0,0,0,0,0,0,0,0
1554768821.94,21,45,21.3333333333,45.0,4.0303030303,14.1525,852.183539377,3.60566400146,0,0,0,0,0,0,0,0,0,0,0,0
1554768822.03,23,43,23.0,43.3333333333,6.23333333333,12.0170084381,864.200547815,-2.13549156189,0,0,0,0,0,0,0,0,0,0,0,0
1554768822.12,24,42,24.0,42.3333333333,2.5303030303,11.1555,875.356047815,-0.86150843811,0,0,0,0,0,0,0,0,0,0,0,0
1554768822.22,27,39,27.3333333333,39.0,7.23333333333,6.993,882.349047815,-4.1625,0,0,0,0,0,0,0,0,0,0,0,0
1554768822.31,28,38,28.0,38.3333333333,10.4757575758,6.1605,888.509547815,-0.8325,0,0,0,0,0,0,0,0,0,0,0,0
1554768822.41,29,36,29.6666666667,36.6666666667,10.6666666667,4.329,892.838547815,-1.8315,0,0,0,0,0,0,0,0,0,0,0,0
1554768822.5,30,36,30.0,36.3333333333,10.7606060606,3.8295,896.668047815,-0.4995,0,0,0,0,0,0,0,0,0,0,0,0
