connected to 192.168.1.14
time,left,right,piLeft,piRight,piConf,piP,piI,piD,cam0Left,cam0Right,cam0Conf,cam0P,cam0I,cam0D,cam1Left,cam1Right,cam1Conf,cam1P,cam1I,cam1D
1554852902.31,41,24,41.6666666667,24.6666666667,9.61212121213,-16.983,-16.983,-16.983,0,0,0,0,0,0,0,0,0,0,0,0
1554852902.4,42,24,42.0,24.3333333333,8.4090909091,-17.649,-32.9337,-0.666,0,0,0,0,0,0,0,0,0,0,0,0
1554852902.49,41,25,41.3333333333,25.0,9.32727272727,-16.1505,-45.79083,1.4985,0,0,0,0,0,0,0,0,0,0,0,0
1554852902.58,40,26,40.3333333333,26.0,10.6515151515,-13.8195,-55.031247,2.331,0,0,0,0,0,0,0,0,0,0,0,0
1554852902.67,39,27,39.3333333333,27.0,10.4696969697,-11.6549949188,-61.1831172188,2.16450508118,0,0,0,0,0,0,0,0,0,0,0,0
1554852902.76,38,28,38.0,28.3333333333,10.5696969697,-9.1575,-64.2223054969,2.49749491882,0,0,0,0,0,0,0,0,0,0,0,0
1554852902.85,37,29,37.0,29.3333333333,10.6393939394,-7.326,-65.1260749472,1.8315,0,0,0,0,0,0,0,0,0,0,0,0
1554852902.95,37,28,37.6666666667,28.6666666667,10.9636363636,-8.658,-67.2714674525,-1.332,0,0,0,0,0,0,0,0,0,0,0,0
1554852903.04,38,27,38.6666666667,27.6666666667,11.8212121212,-10.8224898376,-71.3668105449,-2.16448983765,0,0,0,0,0,0,0,0,0,0,0,0
1554852903.13,40,26,40.0,26.3333333333,12.6878787879,-12.8205,-77.0506294904,-1.99801016235,0,0,0,0,0,0,0,0,0,0,0,0
1554852903.23,41,25,41.3333333333,25.0,12.7545454545,-15.651,-84.9965665414,-2.8305,0,0,0,0,0,0,0,0,0,0,0,0
1554852903.32,43,23,43.3333333333,23.0,12.5424242424,-19.98,-96.4769098872,-4.329,0,0,0,0,0,0,0,0,0,0,0,0
1554852903.42,45,21,45.3333333333,21.0,12.2666666667,-23.4765,-110.305718899,-3.4965,0,0,0,0,0,0,0,0,0,0,0,0
1554852903.51,46,20,46.3333333333,20.0,11.8242424242,-25.4745,-124.749647009,-1.998,0,0,0,0,0,0,0,0,0,0,0,0
1554852903.6,46,19,46.6666666667,19.6666666667,11.6454545455,-26.1405,-138.415182308,-0.666,0,0,0,0,0,0,0,0,0,0,0,0
1554852903.7,47,19,47.0,19.3333333333,11.3575757576,-26.8065,-151.380164077,-0.666,0,0,0,0,0,0,0,0,0,0,0,0
1554852903.79,47,19,47.3333333333,19.0,11.7424242424,-27.4725,-163.714647669,-0.666,0,0,0,0,0,0,0,0,0,0,0,0
1554852903.88,47,19,47.0,19.3333333333,12.3909090909,-26.4735,-173.816682902,0.999,0,0,0,0,0,0,0,0,0,0,0,0
1554852903.98,46,20,46.0,20.3333333333,13.1121212121,-24.642,-181.077014612,1.8315,0,0,0,0,0,0,0,0,0,0,0,0
1554852904.07,44,22,44.0,22.3333333333,13.0,-20.313,-183.282313151,4.329,0,0,0,0,0,0,0,0,0,0,0,0
1554852904.16,44,21,44.6666666667,21.6666666667,7.5606060606,-21.978,-186.932081836,-1.665,0,0,0,0,0,0,0,0,0,0,0,0
1554852904.26,46,20,46.3333333333,20.0,3.39393939393,-24.975,-193.213873652,-2.997,0,0,0,0,0,0,0,0,0,0,0,0
1554852904.35,43,22,43.6666666667,22.6666666667,0.7,-19.647,-193.539486287,5.328,0,0,0,0,0,0,0,0,0,0,0,0
1554852904.45,41,25,41.3333333333,25.0,0.19696969697,-15.318,-189.503537658,4.329,0,0,0,0,0,0,0,0,0,0,0,0
1554852904.54,39,27,39.3333333333,27.0,0.718181818183,-11.322,-181.875183892,3.996,0,0,0,0,0,0,0,0,0,0,0,0
1554852904.63,42,23,42.6666666667,23.6666666667,0.424242424243,-17.4825,-181.170165503,-6.1605,0,0,0,0,0,0,0,0,0,0,0,0
1554852904.73,44,22,44.3333333333,22.0,0.960606060607,-21.312,-184.365148953,-3.8295,0,0,0,0,0,0,0,0,0,0,0,0
1554852904.82,42,23,42.6666666667,23.6666666667,0.218181818182,-17.8155,-183.744134058,3.4965,0,0,0,0,0,0,0,0,0,0,0,0
1554852904.91,42,24,42.3333333333,24.0,0.70303030303,-17.316,-182.685720652,0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1554852905.01,42,24,42.3333333333,24.0,2.95454545455,-16.8165,-181.233648587,0.4995,0,0,0,0,0,0,0,0,0,0,0,0
1554852905.1,40,25,40.6666666667,25.6666666667,1.35454545455,-13.986,-177.096283728,2.8305,0,0,0,0,0,0,0,0,0,0,0,0
1554852905.19,40,25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1
1554852905.29,38,28,38.0,28.3333333333,1.22121212121,-8.8245,-168.211155355,5.1615,0,0,0,0,0,0,0,0,0,0,0,0
